Record,Current name (from Valid Names),Galls,Name in record,Source,Description,Host associations mentioned,Photos,Page link,Taxonomic Info,Biology Note,Phenology,Range,Original Description?
30,Aculops rhois,Aculops rhois,Aculops toxicophagus,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"Infestation is common and typical of the leaf galls. It consists of puckered, irregular, rounded, or wartlike pouches affecting both upper and lower surfaces of the leaves. The galls are usually scattered about indiscriminately on the leaf blade. They range from green to pinkish, to red brown. Poison oak leaves are often so heavily attacked that they become visibly crinkled and distorted. 
Specimens were collected on poison oak in Oregon and California and on poison ivy in Ohio and Maryland. It has also been found on poison sumac (Rhus vernix L.) in Ohio. The mite is probably present throughout its host range. ","Toxicodendron diversilobum,Toxicodendron radicans,Toxicodendron vernix","11C, 11A , 11B, 11D",,,,,,No
31,Aculops rhois,Aculops rhois,Aculops rhois,Amrine Catalog,"""Corrugations [galls] on upper and lower surfaces of leaf with numerous, whitish hairs or erinea""; leaf deformation; stunting of plant? [5041]. Flowers of large vines sometimes become deformed producing numerous long narrow filaments that are narrow rolled leaves; mites deveop in large numbers within the rolls; in some cases the filaments are somewhat more leaflike [West Virginia: Monongalia, Nicholas, Preston and Tucker counties; Maryland: near mouth of Susquehanna River]. Are these a different species?","Toxicodendron radicans,Toxicodendron diversilobum,Toxicodendron vernix",,,"Amrine & Stasny, 1994, erroneously listed this mite as nomen nudum. The mite described by Stebbins meets all code requirements for an older description: ""a name, a mention of the animal and a description of the work of the animal""; thus her name is valid and has priority over Ewing's toxicophagus. We hereby elevate her name, Eriophyes rhois Stebbins 1909 to the accepted name for the poison ivy ( Toxicodendron radicans) gall mite. Ewing's Phyllocoptes toxicophagus is valid and occurs on Toxicodendron diversilobum. The deutogyne of rhois was photographed by Briones & McDaniel, 1976, 41, f. 88 and was observed by J. Amrine, 2 Sep. 1998 on specimens collected from Monongalia Co. WV, Cobun Creek Trail, by pasture, south of Cobun Creek Rd, 1 Sep, 1998, ex poison ivy [Toxicodendron radicans]; they need to be described. The name rhois is a modified form of Rhus. Mites, if they occur on Toxicodendron pubescens Mill. (Atlantic Poison Ivy) and T. rydberghi (Small ex Rydb.) Greene (Western Poison Ivy) may all be separate, distinct species.  
Nalepa 1929 listed on p. 124, under Rhus radicans, Eriophyes rhois Stebbins 1909, and under Rhus diversilobus, Phyllocoptes toxicophagus Ewing, 1922; it may be that galls on each species of Rhus is caused by a different mite. Very careful morphological studies should be done, with rearing experiments and DNA studies. Probably, Aculops toxicophagus (Ewing) will be the name for the mite causing galls on Rhus diversiobus, and Aculops rhois (Stebbins, 1909) for the mite causing erineum galls on Rhus radicans.

NOTE: Inflorescences of Rhus radicans often have flowers & fruits formed into long foliar filaments, with the edges curled in toward the upper midrib, containing numerous mites and a few hairs. Much of this dries up during the season and becomes brown or black and brittle, resembling Spanish Moss on poison ivy. But, many deformations continue to have parts of the deformity growing, tender and green containing mites eggs and offspring even into November. Deutogynes in August were more common in older filaments; protogynes and developing mites in the tender growth. Deformed fruiting bodies have been found at cliffs at Blackwater Falls St. Park (Tucker Co., WV),at the Summersville Library on several large plants on three large trees (Nicholas Co.), at I-79 Rest Area N. Bound, north of Clarksburg, Harrison Co., WV, at Cheat Lake south of Mont Chateau (WV Geological Survey), at Cheat Lake, Morgan's Run Park and Trail, at Monongahela River, just south of the Morgantown Dam, east side along bike path, and at 24 Pinnacle Lane, Monongalia Co., WV. Originally, the foliated fruit was thought to be injury from glyphosate (A.I. of Roundup herbicide), but, symptoms have been found where pesticides have never been used. These mites are very similar to Aculops rhois and careful descriptions should be made to determine if one and the same species causes both kinds of deformities. It is not known if this symptom occurs on Poison Oak, Poison Sumac or other species of Rhus in North America. Examination of large hedgerows of poison ivy in New Orleans failed to find any of this new symptom. So far, it has only been found in several locations in West Virginia, in Bridgeport, Morgantown, Cooper's Rock State Forest, and Black Water St. Park in Tucker Co. ",,,,No
32,Eriophyes laevis,Eriophyes laevis,Eriophyes laevis,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"These beadlike galls are particularly striking because they appear on both surfaces of the leaves. They are small, hemispherical, of variable size and are scattered singly or crowded alongside the midrib. The galls are firmly attached, with the exit holes on the underside. They are shiny externally and the interior contains fleshy tissue. They range from green to yellowish, to red, to reddish brown as they mature. A single leaf may carry numerous galls so that it becomes distorted and its growth inhibited. Although P. laevis is a common species on alder, little is known of its seasonal history and habits. Specimens were abundant in August. The hosts are Oregon or red alder, white alder, and mountain alder in California and hazel alder in Ohio and Georgia. ","Alnus rubra,Alnus rhombifolia,Alnus rugosa,Alnus tenuifolia","12A, 10B",,,The life history involves alternation of generations. ,,,No
33,Eriophyes laevis,Eriophyes laevis,Phytoptus laevis,Amrine Catalog,"Numerous cephaloneon galls of various sizes, on both leaf surfaces [mostly upper]; Cephaloneon pustulatum Bremi.","Alnus glutinosa,Alnus incana,Alnus rugosa,Alnus tenuifolia,Alnus pubescens,Alnus rhombifolia,Alnus rubra,Alnus viridis",,,"Host associations on some plants are probably missidentifications, such as Betula papyrifera.
This may be a complex of very similar species, each restricted to one or two species of Alnus.
Amrine & Stasny (1994) mistakenly made laevis (Nalepa, 1889) a nomen nudum; they did not see the brief description on p. 132, which is sufficient according to the code.",,,,No
34,Aceria baccharipha,Aceria baccharipha,Eriophyes baccharipha,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"This gall is known as Baccharis leaf blister, a pimplelike swelling that develops on both sides of the leaf blade, with the exit hole on the underside. Generally an infestation gives the leaf a pimply, blistered appearance. The galls vary in size and from greenish to yellow, to brown. The mites occur among the fleshy tissue in the galls and presumably leave the galls and migrate to the buds during unfavorable weather. The host plant is locally known as chaparral broom, a spreading evergreen shrub that occurs in coastal and inland hills in California and southern Oregon. The mite specimens were first collected in California in April. Eriophyes baccharipha should not be confused with two other eriophyids that infest Baccharis in California. They are Eriophyes calibaccharis Keifer, which occurs in the terminal buds of chaparral broom, and E. baccharices (Keifer), which causes irregular, wartlike, rough-looking galls on the upper surface of the leaves of seep willow (Baccharis glutinosa Pers.) and mule-fat (B. viminea D. C.). ",Baccharis pilularis,"13A, 13B",,,Nothing is known of the life cycle of this species. ,,,No
35,Aceria baccharipha,Aceria baccharipha,Aceria baccharipha,Amrine Catalog,Leaf blisters.,Baccharis pilularis,,,,,,,No
36,"Aceria brachytarsa,Aceria brachytarsa",Aceria brachytarsa,"Aceria brachytarsa,Eriophyes brachytarsus",An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"The pouch galls induced by this mite on the upper surface of the leaves invariably appear at random between the lateral veins and on the midrib. The galls are often solitary, 3.6 mm in dimension, irregularly globular, and shiny with roughened surface. They range from green to yellowish green with red-dish or brown tinge. The interior of the gall, which becomes red as it matures, consists of multicellular structures, as shown in plate 6, E. Galls at times are numerous on some trees, causing considerable distortion to the foliage. ","Juglans hindsii,Juglans californica","14A, 14B, 14C, 14D",,"Specimens were collected in the galls on California and Hind's walnuts in California. Eriophyes brachytarsus is similar to E. microcarpae Keifer, which causes similar pouch galls on little walnut (Juglans microcarpa Berland) and Arizona walnut (J. major (Tort.) A. Heller) in Texas, New Mexico, and Mexico. Eriophyes amiculus was subsequently observed to be the bi-sexual form (male and protogyne) of E. brachytarsus and is therefore a synonym. Eriophyes brevitatsus is a preoccupied name. ","The life history involves alternation of generations (see Jeppson et al. (1975)). Overwintering females are found in the terminal buds in late winter and in new galls in April. The males and protogynes appear in May, inhabiting the galls through August. Both forms are found in the galls during this period. ",,,No
37,Aceria brachytarsa,Aceria brachytarsa,Aceria brachytarsa,Amrine Catalog,"Undersurface purse galls; purse galls filled with parenchymatous tissue and sparse hairs, with channels for mite development. The leaf gall on Juglans nigra is mostly on the upper surface and hollow with hairs; nothing like this gall. ","Juglans hindsii,Juglans californica",,,"Eriophyes brevitarsus was preoccupied by the senior homonym, Eriophyes brevitarsus Fockeu, 1890, which was later assigned to Acalitus brevitarsus (Fockeu). Farkas (1965) changed the spelling to Aceria brevitarsa (Fockeu).
Aceria amiculus (Keifer, 1940) is the deutogyne and junior synonym according to Keifer (1969), in C3 [358: 15].
The mite causing leaf galls in Juglans nigra is a different species.
",,,,No
38,Aceria caulis,Aceria caulis,Eriophyes caulis,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"This is an exceptionally interesting and beautiful pubescent gall, often brightly colored, passing from greenish through pink and crimson to reddish brown. The gall most frequently develops as an irregular, solid, hard mass on the leaf petiole. It is often solitary and variable in size. The exterior is covered with a dense mass of silky, unicellular, erineumlike hairs (see pl. 7, A). The gall tends to be large and to spread to and partly envelop the stem and leaf. The affected structure is greatly distorted and twisted, and leaflets fail to develop. This mite was found infesting black walnut in New Jersey and Pennsylvania in July-August. It is probably distributed throughout the range of its host from Ontario to Massachusetts and south to Florida and eastern Texas. ",Juglans nigra,"15A, 15B",,"E caulis is similar to and may be confused with E. brachytarsus Keifer, which causes pouch galls on leaves of California walnut. ",The life history involves alternation of generations; only the deutogynes overwinter in the buds. Both forms may be found among the dense mass of erineum hairs during the summer. ,,,No
39,Aceria caulis,Aceria caulis,Aceria caulis,Amrine Catalog,"The mites produce the Petiole Gall, peculiar reddish to purplish erineum-covered wooden swellings on the petioles; leaves often distorted and shortened; may be many galls per leaf.",Juglans nigra,,,"Missed by Davis et al., 1982 and by Amrine & Stasny, 1994. Cook did not put his name as author for caulis, but cited the author as Walsh. So, the name caulis (Cook, 1904)[138] never existed, but began in Banks 1907, p. 620. Banks may have thought that the description by Walsh, 1867, [1067] was nomen nudum, thus substituting Cook as the author. The description by Walsh is adequate according to the code, therefore Aceria caulis (Cook)  is a junior synonym of Aceria caulis (Walsh). This mite was not listed in Walsh's earlier paper in 1864 [787: 608].",,,,No
40,Aceria aloinis,Aceria aloinis,Eriophyes aloinis,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"An affected plant shows a remarkable proliferation of unsightly, irregular outgrowth, clustered densely on the surface of the leaf blades or in leaf axils. The infestation may be con-fined to the base in the leaf axils as bunched, greenish, tiny-to-large globular sprouts or as a lumpy, rough-looking thickening in the form of wartlike growths from the base of the leaf blade extending to the tip. The longitudinal pattern of growth follows that of the lanceolate shape of the leaf. It ranges from yellowish to brownish, to green tinged with yellow. The mites also attack the inflorescence and cause galled blooms. This eriophyid attacks golden-tooth aloe, spider aloe, and star cactus or wart plant in southern California and Florida. It is probably found wherever these plants are grown. ","Aloe nobilis,Aloe spinosissima","16A, 16B, 16C, 16D",,,The mites live in crevices among the various growths and were collected in November. ,,,No
41,Aceria aloinis,Aceria aloinis,Aceria aloinis,Amrine Catalog,The mites cause severe deformation on the inner sides of leaf axils and on inflorescences.,"Aloe spinosissima,Aloe striata,Haworthia retusa",,,,,,,No
42,Aceria sandorici,Aceria sandorici,Eriophyes sandorici,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"This is an unsightly pouch gall that develops on the underside of the leaf blade as a concavity filled with erineum and on the upper side as a rounded outpocketing with irregular puckered domes. The pouch is greenish, becoming blackish, and the erineum turns brownish at maturity. The galls are variable in size and are frequently coalesced and crowded, giving a lumpy appearance to the leaf blade. Eriophyes sandorici has been found only on santol of the mahogany family Meliaceae, a tropical tree with edible fruit from the lndomalayan region and Mauritius. ",Sandoricum koetjape,17A,,,The life cycle and seasonal distribution are unknown. ,,,No
43,Aceria sandorici,Aceria sandorici,Aceria sandorici,Amrine Catalog,"Erineum pockets on upper and lower sides of leaves, the pockets protruding out of both surfaces.",Sandoricum koetjape,,,,,,,No
44,Aceria fraxini,Aceria fraxini,Eriophyes chondriphora,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"The galls on the upper surface of ash leaves are unmistakable and often particularly numerous on the terminal leaves. They are small and solitary, somewhat reniform in shape, and gen-erally scattered at random on the lateral veins. Their greenish-yellow color and shape give a striking effect on an infested leaf. Specimens were found in galls on leaves of white, Oregon, and green or red ash in California, Wisconsin, Virginia, New York, Vermont, and Canada. In Europe, Eriophyes fraxinicola (Nalepa), a closely related species of E. chondriphora, makes similar galls on leaves of European ash (Fraxinus excelsior L.). ","Fraxinus americana,Fraxinus latifolia,Fraxinus pennsylvanica",18A,,,The mites inhabit the galls until the leaves mature in late summer. The life history apparently involves alternation of generations. ,,,No
45,Aceria fraxini,Aceria fraxini,Aceria fraxini,Amrine Catalog,"Masses of bead galls on leaves, with most openings on the lower surface of the leaf; [deformed flowers [892], error, symptoms of Aceria fraxiniflora (Felt, 1906)].","Fraxinus americana,Fraxinus latifolia,Fraxinus pennsylvanica,Fraxinus nigra",,,"Misspelled as chrondiphora by Keifer 1967 [3223] & Keifer 1975 in Jeppson et al. [295]. Determined to be a junior synonym of Aceria fraxini (Garman, 1883) by Amrine & Stasny 1994 (#1099:34). If these mites are cryptic species [sibling species], specific to each species of ash, then chondriphora will be restored for the Oregon Ash.",,,,No
46,Callirhytis furva,Callirhytis furva,Callirhytis furva,New American Cynipid Wasps From Galls,"Small, somewhat globular galls, 3-4 mm in diameter covered with short, straight, stiff brown hairs, scattered along midrib or main veins on upper side of leaf in the fall and dropping off singly when mature. The hairs do not weather away during winter. Similar to galls of C infuscata on Quercus laevis in Florida.",Quercus palustris,21,https://www.biodiversitylibrary.org/page/15672479#page/385/mode/1up,,The types were reared from galls collected on ground in VA in October. Adults emerged March 20. Similar galls have been noted on nine other species of red oaks. [Type host is Q palustris],,,Yes
47,Callirhytis infuscata,Callirhytis infuscata,Andricus infuscatus,On The Cynipidous Galls of Florida,"A globular, fleshy gall, densely covered with yellow wool; diameter .23 to .25 inch. It is attached by a slight point to the upper surface of the leaf and when mature is in reality nothing but a hard, tough, larval cell, covered with wool; the wooly covering is easily detached. It is monothalamous; occasionally several galls occur together on the leaf compressing one another into odd shapes but the galls fall to the ground, separate and renew their globular form, and the fly reaches maturity in the damp earth. Described from several specimens reared in March.",Quercus laevis,,https://www.biodiversitylibrary.org/item/32293#page/154/mode/1up,,,,,Yes
48,Callirhytis piperoides,Callirhytis piperoides,Andricus piperoides,New Species of North American Cynipidae (1900),"Galls from one-eighth to three-eighths of an inch in diameter, in dense clusters along the mid-vein of full grown red oak leaves (Quercus rubra). They are found only on the largest leaves of the thriftiest shoots of young oaks. The clusters contain from one or two dozen galls up to a hundred or more, and extend along the vein two, three or even four inches. The vein is considerably enlarged, and is often split by the crowding of the galls as they increase in size. The blade of the leaf is often torn by the same force and the galls appear on both surfaces. When on the tree they are covered with a dense, coarse pubescence which is, in color, a dusky drab, or when exposed to the sun a brownish red. They are round except a very slight elongation at the point of attachment to the leaf. After falling to the ground they soon turn black, and after losing their pubescence they resemble quite closely small black pepper corns. At this time they are a solid mass of vegetable cells with a minute jelly-like center, which is the undeveloped larva. The growing larva devours the gall till at maturity nothing remains but a thin shell. ",Quercus rubra,,https://www.biodiversitylibrary.org/page/7522373#page/338/mode/1up,,"My galls were collected in October and were kept until late the next Summer under conditions as nearly normal as possible. As the flies seemed mature in August I placed the galls in dry boxes, expecting the insects would soon appear. During October and November I removed from the galls some two hundred insects. They were somewhat torpid but seemingly mature. These were alive in January of the next year, and those in the galls had undergone no change. A few individuals emerged from the galls in the Winter, though most remained alive in the galls many months after.",,,Yes
49,Callirhytis infuscata,Callirhytis infuscata,Andricus infuscatus,Key to American Insect Galls,"Globular, fleshy, monothalamous leaf gall with dense, yellow wool, diameter 5 to 6 mm, on upper surface, on Q catesbaei [laevis].",Quercus laevis,,https://www.biodiversitylibrary.org/page/8635512#page/118/mode/1up,,,,,No
50,Callirhytis lanata,Callirhytis lanata,Dryophanta lanata,Descriptions of new Cynipidae in the Collection of the Illinois State Laboratory of Natural History,"During late summer and autumn the galls of this species are found on the under side of leaves of Quercus rubra and Q coccinea, appearing externally as little bunches of compact brown wool and hardly distinguishable in outward appearance from the galls of Andricus flocci Walsh. The galls seldom occur singly, but usually in clusters of from four to eight. A cluster of eight galls when fully grown will measure about 3/8 of an inch in width by 5/8 of an inch in length. An individual gall when denuded of its covering is in the form of an irregularly shaped cone with a bulging base, the diameter of the base being three or four sixteenths of an inch, which is nearly twice the height. The galls fall to the ground in the autumn in advance of the leaves, and the flies emerge the following summer. ","Quercus rubra,Quercus coccinea",P9F5,https://www.biodiversitylibrary.org/page/8571764#page/205/mode/1up,,,,,Yes
51,Callirhytis lanata,Callirhytis lanata,Dryophanta lanata,Key to American Insect Galls,"Bunches of pale brown wool on under surface of leaf, each with 2 to 8 triangular or irregularly conical cells, diameter 5 to 15 mm, on Q rubra, coccinea, velutina, marilandica, phellos, nana.","Quercus rubra,Quercus coccinea,Quercus velutina,Quercus marilandica,Quercus phellos,Quercus ilicifolia",F108_1-3,https://www.biodiversitylibrary.org/page/8635512#page/117/mode/1up,,,,,No
