Gall,All BHL descriptions added,Record,Gallformer Species,Host Plant,Host genus,References,Host associations mentioned (from Descriptions),Description (from Source Contents),Photos (from Source Contents),Taxonomic Info (from Source Contents),Source (from Source Contents),Location,Detachable,Texture,Alignment,Walls
Aceria myriadeum,,11,Aceria myriadeum,"Acer pseudoplatanus,Acer campestre",,24,"Acer campestre,Acer pseudoplatanus","Numerous cephaloneon galls on leaf surface, Cephaloneon myriadeum Bremi",,"This name was found in Nalepa 1923c [1084:40, as nomen nudum]; added to the catalog 18 Jun 1999. This is a valid name, according to the code, and replaces a very unwieldly name. See synonymy and references under aceriscampestris Nalepa, 1922 [#185].",Amrine Catalog,"upper leaf,between veins",no,,,
Aceria spicati,,12,Aceria spicati,Acer spicatum,,"6,17","Acer spicatum,Acer spicatum","Described from individuals found in a whitish erineum on the under surfaces of leaves of the mountain maple, Acer spicatum L., Small white ""frost"" (= erineum) galls on leaf underside at vein angles; cylindrical galls on leaf surface on Acer insulare.",,"Listed as nomen nudum by Nalepa (1929b) and Amrine & Stasny (1994), Baker et al. (1996), but meets all criteria for a valid species. The mite on Acer insulare in Taiwan is a different species [4768,4761].","New Species of Maple Mites,Amrine Catalog","lower leaf,vein angles",no,,,
Cecidophyes naulti,,13,Cecidophyes naulti,Acer rubrum,,25,Acer rubrum,The mites were found on the lower surface of leaf curling.,,,Amrine Catalog,lower leaf,no,,,
Acericecis ocellaris,,14,Acericecis ocellaris,"Acer rubrum,Acer saccharum,Acer nigrum",,,,,,,,"upper leaf,lower leaf,between veins",no,,,
Dasineura communis,,15,Dasineura communis,"Acer saccharum,Acer rubrum",,,,,,,,"lower leaf,leaf veins",no,,,
Proteoteras willingana,,16,Proteoteras willingana,"Acer negundo,Acer rubrum",,,,,,,,stem,no,,,
Contarinia negundinis,,17,Contarinia negundinis,Acer negundo,,,,,,,,"bud,upper leaf,lower leaf,leaf veins",no,,,
Contarinia (undescribed),,18,Contarinia (undescribed),Acer negundo,,,,,,,,"upper leaf,leaf veins",yes,,,
Rhytisma acerinum,,19,Rhytisma acerinum,"Acer campestre,Acer circinatum,Acer ginnala,Acer negundo,Acer platanoides,Acer pseudoplatanus,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum",,,,,,,,"upper leaf,lower leaf,between veins",no,,,
Rhytisma americanum,,20,Rhytisma americanum,"Acer glabrum,Acer negundo,Acer macrophyllum,Acer pseudoplatanus,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum",,,,,,,,"upper leaf,lower leaf,between veins",no,,,
Rhytisma punctatum,,21,Rhytisma punctatum,"Acer circinatum,Acer glabrum,Acer negundo,Acer macrophyllum,Acer pensylvanicum,Acer pseudoplatanus,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum",,,,,,,,"upper leaf,lower leaf,between veins",no,,,
Xylotrechus aceris,,22,Xylotrechus aceris,Acer rubrum,,,,,,,,stem,no,,,
Synanthedon acerni,,23,Synanthedon acerni,"Acer rubrum,Acer saccharinum,Acer saccharum",,,,,,,,stem,no,,,
Proteoteras aesculana,,24,Proteoteras aesculana,,"Acer,Malus,Celtis,Aesculus",,,,,,,stem,no,,,
Synanthedon acerrubri,,25,Synanthedon acerrubri,,Acer,,,,,,,stem,no,,,
Cryptophyllaspis liquidambaris,,26,Cryptophyllaspis liquidambaris,Acer rubrum,,,,,,,,"upper leaf,lower leaf,between veins",yes,,,
Dasineura rileyana,,27,Dasineura rileyana,Acer rubrum,,,,,,,,"upper leaf,lower leaf",no,,,
Dasineura aceris,,28,Dasineura aceris,Acer saccharinum,,,,,,,,"upper leaf,lower leaf,between veins",no,,,
Rhyncaphytoptus magnificus,,29,Rhyncaphytoptus magnificus,"Acer platanoides,Acer rubrum",,"10,18","Acer platanoides,Acer platanoides,Acer rubrum","Described from individuals found in epidermal hairy growths which occur in the axils of the veins on the under surfaces of leaves of the Norway maple, Acer platanoides L., Epidermal hairy growths which occur in the axils of the veins on the under surfaces of leaves.",,,"New Species of Maple Mites,Amrine Catalog","lower leaf,vein angles",no,,,
Caryomyia tubicola,,30,Caryomyia tubicola,Carya ovata,,,,,,,,lower leaf,"yes,no",Hairless,Erect,thin
Aculops rhois,,31,Aculops rhois,Toxicodendron radicans,,"30,31","Toxicodendron diversilobum,Toxicodendron radicans,Toxicodendron vernix,Toxicodendron radicans,Toxicodendron diversilobum,Toxicodendron vernix","Infestation is common and typical of the leaf galls. It consists of puckered, irregular, rounded, or wartlike pouches affecting both upper and lower surfaces of the leaves. The galls are usually scattered about indiscriminately on the leaf blade. They range from green to pinkish, to red brown. Poison oak leaves are often so heavily attacked that they become visibly crinkled and distorted. 
Specimens were collected on poison oak in Oregon and California and on poison ivy in Ohio and Maryland. It has also been found on poison sumac (Rhus vernix L.) in Ohio. The mite is probably present throughout its host range. , ""Corrugations [galls] on upper and lower surfaces of leaf with numerous, whitish hairs or erinea""; leaf deformation; stunting of plant? [5041]. Flowers of large vines sometimes become deformed producing numerous long narrow filaments that are narrow rolled leaves; mites deveop in large numbers within the rolls; in some cases the filaments are somewhat more leaflike [West Virginia: Monongalia, Nicholas, Preston and Tucker counties; Maryland: near mouth of Susquehanna River]. Are these a different species?","11C, 11A , 11B, 11D","Amrine & Stasny, 1994, erroneously listed this mite as nomen nudum. The mite described by Stebbins meets all code requirements for an older description: ""a name, a mention of the animal and a description of the work of the animal""; thus her name is valid and has priority over Ewing's toxicophagus. We hereby elevate her name, Eriophyes rhois Stebbins 1909 to the accepted name for the poison ivy ( Toxicodendron radicans) gall mite. Ewing's Phyllocoptes toxicophagus is valid and occurs on Toxicodendron diversilobum. The deutogyne of rhois was photographed by Briones & McDaniel, 1976, 41, f. 88 and was observed by J. Amrine, 2 Sep. 1998 on specimens collected from Monongalia Co. WV, Cobun Creek Trail, by pasture, south of Cobun Creek Rd, 1 Sep, 1998, ex poison ivy [Toxicodendron radicans]; they need to be described. The name rhois is a modified form of Rhus. Mites, if they occur on Toxicodendron pubescens Mill. (Atlantic Poison Ivy) and T. rydberghi (Small ex Rydb.) Greene (Western Poison Ivy) may all be separate, distinct species.  
Nalepa 1929 listed on p. 124, under Rhus radicans, Eriophyes rhois Stebbins 1909, and under Rhus diversilobus, Phyllocoptes toxicophagus Ewing, 1922; it may be that galls on each species of Rhus is caused by a different mite. Very careful morphological studies should be done, with rearing experiments and DNA studies. Probably, Aculops toxicophagus (Ewing) will be the name for the mite causing galls on Rhus diversiobus, and Aculops rhois (Stebbins, 1909) for the mite causing erineum galls on Rhus radicans.

NOTE: Inflorescences of Rhus radicans often have flowers & fruits formed into long foliar filaments, with the edges curled in toward the upper midrib, containing numerous mites and a few hairs. Much of this dries up during the season and becomes brown or black and brittle, resembling Spanish Moss on poison ivy. But, many deformations continue to have parts of the deformity growing, tender and green containing mites eggs and offspring even into November. Deutogynes in August were more common in older filaments; protogynes and developing mites in the tender growth. Deformed fruiting bodies have been found at cliffs at Blackwater Falls St. Park (Tucker Co., WV),at the Summersville Library on several large plants on three large trees (Nicholas Co.), at I-79 Rest Area N. Bound, north of Clarksburg, Harrison Co., WV, at Cheat Lake south of Mont Chateau (WV Geological Survey), at Cheat Lake, Morgan's Run Park and Trail, at Monongahela River, just south of the Morgantown Dam, east side along bike path, and at 24 Pinnacle Lane, Monongalia Co., WV. Originally, the foliated fruit was thought to be injury from glyphosate (A.I. of Roundup herbicide), but, symptoms have been found where pesticides have never been used. These mites are very similar to Aculops rhois and careful descriptions should be made to determine if one and the same species causes both kinds of deformities. It is not known if this symptom occurs on Poison Oak, Poison Sumac or other species of Rhus in North America. Examination of large hedgerows of poison ivy in New Orleans failed to find any of this new symptom. So far, it has only been found in several locations in West Virginia, in Bridgeport, Morgantown, Cooper's Rock State Forest, and Black Water St. Park in Tucker Co. ","An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",upper leaf,no,,,
Eriophyes laevis,,32,Eriophyes laevis,,,"32,33","Alnus rubra,Alnus rhombifolia,Alnus rugosa,Alnus tenuifolia,Alnus glutinosa,Alnus incana,Alnus rugosa,Alnus tenuifolia,Alnus pubescens,Alnus rhombifolia,Alnus rubra,Alnus viridis","These beadlike galls are particularly striking because they appear on both surfaces of the leaves. They are small, hemispherical, of variable size and are scattered singly or crowded alongside the midrib. The galls are firmly attached, with the exit holes on the underside. They are shiny externally and the interior contains fleshy tissue. They range from green to yellowish, to red, to reddish brown as they mature. A single leaf may carry numerous galls so that it becomes distorted and its growth inhibited. Although P. laevis is a common species on alder, little is known of its seasonal history and habits. Specimens were abundant in August. The hosts are Oregon or red alder, white alder, and mountain alder in California and hazel alder in Ohio and Georgia. , Numerous cephaloneon galls of various sizes, on both leaf surfaces [mostly upper]; Cephaloneon pustulatum Bremi.","12A, 10B","Host associations on some plants are probably missidentifications, such as Betula papyrifera.
This may be a complex of very similar species, each restricted to one or two species of Alnus.
Amrine & Stasny (1994) mistakenly made laevis (Nalepa, 1889) a nomen nudum; they did not see the brief description on p. 132, which is sufficient according to the code.","An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",upper leaf,no,,,
Aceria baccharipha,,33,Aceria baccharipha,Baccharis pilularis,,"34,35","Baccharis pilularis,Baccharis pilularis","This gall is known as Baccharis leaf blister, a pimplelike swelling that develops on both sides of the leaf blade, with the exit hole on the underside. Generally an infestation gives the leaf a pimply, blistered appearance. The galls vary in size and from greenish to yellow, to brown. The mites occur among the fleshy tissue in the galls and presumably leave the galls and migrate to the buds during unfavorable weather. The host plant is locally known as chaparral broom, a spreading evergreen shrub that occurs in coastal and inland hills in California and southern Oregon. The mite specimens were first collected in California in April. Eriophyes baccharipha should not be confused with two other eriophyids that infest Baccharis in California. They are Eriophyes calibaccharis Keifer, which occurs in the terminal buds of chaparral broom, and E. baccharices (Keifer), which causes irregular, wartlike, rough-looking galls on the upper surface of the leaves of seep willow (Baccharis glutinosa Pers.) and mule-fat (B. viminea D. C.). , Leaf blisters.","13A, 13B",,"An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",upper leaf,no,,,
Aceria brachytarsa,,35,Aceria brachytarsa,"Juglans hindsii,Juglans californica",,"36,37","Juglans hindsii,Juglans californica,Juglans hindsii,Juglans californica","The pouch galls induced by this mite on the upper surface of the leaves invariably appear at random between the lateral veins and on the midrib. The galls are often solitary, 3.6 mm in dimension, irregularly globular, and shiny with roughened surface. They range from green to yellowish green with red-dish or brown tinge. The interior of the gall, which becomes red as it matures, consists of multicellular structures, as shown in plate 6, E. Galls at times are numerous on some trees, causing considerable distortion to the foliage. , Undersurface purse galls; purse galls filled with parenchymatous tissue and sparse hairs, with channels for mite development. The leaf gall on Juglans nigra is mostly on the upper surface and hollow with hairs; nothing like this gall. ","14A, 14B, 14C, 14D","Specimens were collected in the galls on California and Hind's walnuts in California. Eriophyes brachytarsus is similar to E. microcarpae Keifer, which causes similar pouch galls on little walnut (Juglans microcarpa Berland) and Arizona walnut (J. major (Tort.) A. Heller) in Texas, New Mexico, and Mexico. Eriophyes amiculus was subsequently observed to be the bi-sexual form (male and protogyne) of E. brachytarsus and is therefore a synonym. Eriophyes brevitatsus is a preoccupied name. , Eriophyes brevitarsus was preoccupied by the senior homonym, Eriophyes brevitarsus Fockeu, 1890, which was later assigned to Acalitus brevitarsus (Fockeu). Farkas (1965) changed the spelling to Aceria brevitarsa (Fockeu).
Aceria amiculus (Keifer, 1940) is the deutogyne and junior synonym according to Keifer (1969), in C3 [358: 15].
The mite causing leaf galls in Juglans nigra is a different species.
","An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",,,,,
Aceria caulis,,36,Aceria caulis,Juglans nigra,,"38,39","Juglans nigra,Juglans nigra","This is an exceptionally interesting and beautiful pubescent gall, often brightly colored, passing from greenish through pink and crimson to reddish brown. The gall most frequently develops as an irregular, solid, hard mass on the leaf petiole. It is often solitary and variable in size. The exterior is covered with a dense mass of silky, unicellular, erineumlike hairs (see pl. 7, A). The gall tends to be large and to spread to and partly envelop the stem and leaf. The affected structure is greatly distorted and twisted, and leaflets fail to develop. This mite was found infesting black walnut in New Jersey and Pennsylvania in July-August. It is probably distributed throughout the range of its host from Ontario to Massachusetts and south to Florida and eastern Texas. , The mites produce the Petiole Gall, peculiar reddish to purplish erineum-covered wooden swellings on the petioles; leaves often distorted and shortened; may be many galls per leaf.","15A, 15B","E caulis is similar to and may be confused with E. brachytarsus Keifer, which causes pouch galls on leaves of California walnut. , Missed by Davis et al., 1982 and by Amrine & Stasny, 1994. Cook did not put his name as author for caulis, but cited the author as Walsh. So, the name caulis (Cook, 1904)[138] never existed, but began in Banks 1907, p. 620. Banks may have thought that the description by Walsh, 1867, [1067] was nomen nudum, thus substituting Cook as the author. The description by Walsh is adequate according to the code, therefore Aceria caulis (Cook)  is a junior synonym of Aceria caulis (Walsh). This mite was not listed in Walsh's earlier paper in 1864 [787: 608].","An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",,,,,
Aceria aloinis,,37,Aceria aloinis,"Aloe nobilis,Aloe spinosissima",,"40,41","Aloe nobilis,Aloe spinosissima,Aloe spinosissima,Aloe striata,Haworthia retusa","An affected plant shows a remarkable proliferation of unsightly, irregular outgrowth, clustered densely on the surface of the leaf blades or in leaf axils. The infestation may be con-fined to the base in the leaf axils as bunched, greenish, tiny-to-large globular sprouts or as a lumpy, rough-looking thickening in the form of wartlike growths from the base of the leaf blade extending to the tip. The longitudinal pattern of growth follows that of the lanceolate shape of the leaf. It ranges from yellowish to brownish, to green tinged with yellow. The mites also attack the inflorescence and cause galled blooms. This eriophyid attacks golden-tooth aloe, spider aloe, and star cactus or wart plant in southern California and Florida. It is probably found wherever these plants are grown. , The mites cause severe deformation on the inner sides of leaf axils and on inflorescences.","16A, 16B, 16C, 16D",,"An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",,,,,
Aceria sandorici,,38,Aceria sandorici,Sandoricum koetjape,,"42,43","Sandoricum koetjape,Sandoricum koetjape","This is an unsightly pouch gall that develops on the underside of the leaf blade as a concavity filled with erineum and on the upper side as a rounded outpocketing with irregular puckered domes. The pouch is greenish, becoming blackish, and the erineum turns brownish at maturity. The galls are variable in size and are frequently coalesced and crowded, giving a lumpy appearance to the leaf blade. Eriophyes sandorici has been found only on santol of the mahogany family Meliaceae, a tropical tree with edible fruit from the lndomalayan region and Mauritius. , Erineum pockets on upper and lower sides of leaves, the pockets protruding out of both surfaces.",17A,,"An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",,,,,
Aceria fraxini,,39,Aceria fraxini,,,"44,45","Fraxinus americana,Fraxinus latifolia,Fraxinus pennsylvanica,Fraxinus americana,Fraxinus latifolia,Fraxinus pennsylvanica,Fraxinus nigra","The galls on the upper surface of ash leaves are unmistakable and often particularly numerous on the terminal leaves. They are small and solitary, somewhat reniform in shape, and gen-erally scattered at random on the lateral veins. Their greenish-yellow color and shape give a striking effect on an infested leaf. Specimens were found in galls on leaves of white, Oregon, and green or red ash in California, Wisconsin, Virginia, New York, Vermont, and Canada. In Europe, Eriophyes fraxinicola (Nalepa), a closely related species of E. chondriphora, makes similar galls on leaves of European ash (Fraxinus excelsior L.). , Masses of bead galls on leaves, with most openings on the lower surface of the leaf; [deformed flowers [892], error, symptoms of Aceria fraxiniflora (Felt, 1906)].",18A,"Misspelled as chrondiphora by Keifer 1967 [3223] & Keifer 1975 in Jeppson et al. [295]. Determined to be a junior synonym of Aceria fraxini (Garman, 1883) by Amrine & Stasny 1994 (#1099:34). If these mites are cryptic species [sibling species], specific to each species of ash, then chondriphora will be restored for the Oregon Ash.","An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,Amrine Catalog",,,,,
Callirhytis furva,checked,40,Callirhytis furva,,,"46,61","Quercus palustris,Quercus laevis,Quercus coccinea,Quercus falcata,Quercus ilicifolia,Quercus imbricaria,Quercus laurifolia,Quercus marilandica,Quercus myrtifolia,Quercus nigra,Quercus palustris,Quercus phellos,Quercus velutina","Small, somewhat globular galls, 3-4 mm in diameter covered with short, straight, stiff brown hairs, scattered along midrib or main veins on upper side of leaf in the fall and dropping off singly when mature. The hairs do not weather away during winter. Similar to galls of C infuscata on Quercus laevis in Florida., On Quercus catesbaei [laevis], coccinea, falcata, ilicifolia, imbricaria, laurifolia, marilandica, myrtifolia, nigra, palustris, phellos, velutina: Small cluster of globular galls, 3-4 mm in dia., each covered with short, straight brown hairs, on upper side of leaf in fall.","21, 212",,"New American Cynipid Wasps From Galls,Cynipid galls of the eastern United States",,,,,
Callirhytis infuscata,checked,41,Callirhytis infuscata,,,"47,49,62,96","Quercus laevis,Quercus laevis,Quercus laevis,Quercus incana,Quercus laurifolia,Quercus marilandica,Quercus myrtifolia,Quercus phellos,Quercus pumila,Quercus laevis,Quercus marilandica,Quercus incana,Quercus laurifolia,Quercus myrtifolia","A globular, fleshy gall, densely covered with yellow wool; diameter .23 to .25 inch. It is attached by a slight point to the upper surface of the leaf and when mature is in reality nothing but a hard, tough, larval cell, covered with wool; the wooly covering is easily detached. It is monothalamous; occasionally several galls occur together on the leaf compressing one another into odd shapes but the galls fall to the ground, separate and renew their globular form, and the fly reaches maturity in the damp earth. Described from several specimens reared in March., Globular, fleshy, monothalamous leaf gall with dense, yellow wool, diameter 5 to 6 mm, on upper surface, on Q catesbaei [laevis]., On Quercus catesbaei [laevis]: Woolly midrib cluster on under side in fall dropping in late Nov. When wool weathers away each element is white and flat-topped. [contradicts original description, which states that this gall is found on the upper side of the leaf on this host]
On Quercus cinerea [incana]: Globular, fleshy, densely covered with yellow wool, on upper surface in fall, dropping when mature.
On Quercus laurifolia: Globular, fleshy, densely covered with yellowish wool, single or cluster on midrib on  upper surface in fall, dropping when mature, then the wool coming away clean.
On Quercus marilandica: Globular, fleshy, densely covered with yellow wool, on upper surface in fall, dropping when mature.
On Quercus myrtifolia: Globular, fleshy, densely covered with yellow hairs, on upper surface in fall, dropping when mature.
On Quercus phellos: Globular, densely covered with yellow wool, on midrib on upper surface in fall, dropping when mature.
On Quercus pumila: Globular, densely covered with yellow wool, in cluster on midrib in upper surface in fall, dropping when mature and becoming plump on ground, the wool easily detached.",,"This species was described from Jacksonville. Fla.. from galls on Quercus catesbaei [laevis], the adults emerging in March. As the tarsal claws are simple the species is here transferred to Callirhytis. The writer has collected the galls on the above host at Green Cove Springs. Marianna, River Junction, Madison, Tallahassee, Carabelle, Gainesville, Ocala. St. Petersburg. and Clearwater. FL. Similar galls were seen at Marianna on Q. marilandica and Q. cinerea [incana] and on Q. laurifolia at Gainesville, Ocala, and Clearwater. Galls collected November 20, 1919, at Daytona on Q. laurifolia and sent to Washington and Evanston for rearing gave flies May 23, 26, June 3 and 15 1920. From galls collected at Savannah. Ga.. November 20, 1919, living flies were cut March 14. 1921, having pupated the previous November. Galls on Q myrtifolia collected at Daytona November 20, 1919 gave flies May 23, 1920, but some galls still contained larvae as late as September I. 1924, so that the emergence may be distributed over at least two seasons. The writer has been unable to separate these reared specimens from the types of infuscata. ","On The Cynipidous Galls of Florida,Key to American Insect Galls,Cynipid galls of the eastern United States,Field notes on gall-inhabiting cynipid wasps with descriptions of new species",,,,,
