TREECODE,TREESP,SITENUM,SITE,YEAR,TREENUM,NLEAVES,LEAFMASS,NGALLS,GALLMASS,NAME,STEM,LEAF
100,lobata,1,HNHR,2000,193,26,3.844,0,0,Besbicus conspicuus,1,0
466,lobata,8,LIEBRE M,2001,42,35,4.399,0,0,Besbicus conspicuus,1,0
200,lobata,2,JASPER R,2003,88,62,5.623,0,0,Besbicus conspicuus,1,0
202,lobata,2,JASPER R,2002,91,45,7.514,0,0,Besbicus conspicuus,1,0
242,lobata,3,POZO,2000,48,27,3.791,0,0,Besbicus conspicuus,1,0
367,lobata,11,DYE CRK,2001,25,44,10.128,0,0,Besbicus conspicuus,1,0
280,lobata,4,SEDGWICK,2003,44,36,4.322,0,0,Besbicus conspicuus,1,0
178,lobata,2,JASPER R,2003,59,77,12.5,0,0,Besbicus conspicuus,1,0
42,lobata,1,HNHR,2001,92,39,6.356,0,0,Besbicus conspicuus,1,0
340,lobata,10,TOWER HS,2003,55,41,6.567,0,0,Besbicus conspicuus,1,0
336,lobata,10,TOWER HS,2002,11,37,6.187,0,0,Besbicus conspicuus,1,0
435,lobata,9,HOPLAND,2002,67,52,3.446,0,0,Besbicus conspicuus,1,0
85,lobata,1,HNHR,2003,171,125,14.673,0,0,Besbicus conspicuus,1,0
178,lobata,2,JASPER R,2002,59,67,10.548,0,0,Besbicus conspicuus,1,0
381,lobata,11,DYE CRK,2001,39,30,7.45,0,0,Besbicus conspicuus,1,0
8,lobata,1,HNHR,2000,16,29,4.02,0,0,Besbicus conspicuus,1,0
79,lobata,1,HNHR,2002,161,26,3.944,0,0,Besbicus conspicuus,1,0
286,lobata,4,SEDGWICK,2000,50,17,4.097,0,0,Besbicus conspicuus,1,0
381,lobata,11,DYE CRK,2003,39,38,5.75,0,0,Besbicus conspicuus,1,0
26,lobata,1,HNHR,2003,53,37,8.389,0,0,Besbicus conspicuus,1,0
1,lobata,1,HNHR,2002,1,36,5.077,0,0,Besbicus conspicuus,1,0
449,lobata,15,KAWEAH O,2002,9,28,4.055,0,0,Besbicus conspicuus,1,0
282,lobata,4,SEDGWICK,2003,46,33,6.85,0,0,Besbicus conspicuus,1,0
177,lobata,2,JASPER R,2002,58,38,3.967,0,0,Besbicus conspicuus,1,0
254,lobata,3,POZO,2001,72,84,5.496,0,0,Besbicus conspicuus,1,0
191,lobata,2,JASPER R,2001,73,18,5.602,0,0,Besbicus conspicuus,1,0
482,lobata,12,SIERRA F,2002,44,54,4.776,0,0,Besbicus conspicuus,1,0
243,lobata,3,POZO,2003,49,37,5.838,0,0,Besbicus conspicuus,1,0
43,lobata,1,HNHR,2003,98,28,2.444,0,0,Besbicus conspicuus,1,0
234,lobata,3,POZO,2001,32,59,4.765,0,0,Besbicus conspicuus,1,0
253,lobata,3,POZO,2003,60,35,6.526,0,0,Besbicus conspicuus,1,0
371,lobata,11,DYE CRK,2001,29,55,9.198,0,0,Besbicus conspicuus,1,0
80,lobata,1,HNHR,2002,163,49,6.523,0,0,Besbicus conspicuus,1,0
477,lobata,12,SIERRA F,2002,39,32,9.636,0,0,Besbicus conspicuus,1,0
370,lobata,11,DYE CRK,2002,28,24,3.781,0,0,Besbicus conspicuus,1,0
440,lobata,9,HOPLAND,2002,72,54,7.122,0,0,Besbicus conspicuus,1,0
213,lobata,3,POZO,2002,7,27,5.112,0,0,Besbicus conspicuus,1,0
438,lobata,9,HOPLAND,2001,70,68,7.608,0,0,Besbicus conspicuus,1,0
85,lobata,1,HNHR,2002,171,37,5.168,0,0,Besbicus conspicuus,1,0
28,lobata,1,HNHR,2003,56,59,9.17,0,0,Besbicus conspicuus,1,0
35,lobata,1,HNHR,2002,68,63,5.312,0,0,Besbicus conspicuus,1,0
207,lobata,2,JASPER R,2003,99,61,4.699,0,0,Besbicus conspicuus,1,0
246,lobata,3,POZO,2003,53,37,8.605,0,0,Besbicus conspicuus,1,0
340,lobata,10,TOWER HS,2002,55,29,10.539,0,0,Besbicus conspicuus,1,0
243,lobata,3,POZO,2000,49,45,6.922,0,0,Besbicus conspicuus,1,0
472,lobata,8,LIEBRE M,2001,48,45,5.594,0,0,Besbicus conspicuus,1,0
26,lobata,1,HNHR,2001,53,51,12.456,0,0,Besbicus conspicuus,1,0
281,lobata,4,SEDGWICK,2001,45,32,13.355,0,0,Besbicus conspicuus,1,0
28,lobata,1,HNHR,2001,56,24,8.52,0,0,Besbicus conspicuus,1,0
447,lobata,15,KAWEAH O,2000,7,70,4.897,0,0,Besbicus conspicuus,1,0
63,lobata,1,HNHR,2003,139,73,6.317,0,0,Besbicus conspicuus,1,0
203,lobata,2,JASPER R,2001,92,42,5.944,0,0,Besbicus conspicuus,1,0
213,lobata,3,POZO,2000,7,37,10.041,0,0,Besbicus conspicuus,1,0
442,lobata,15,KAWEAH O,2003,2,37,3.272,0,0,Besbicus conspicuus,1,0
164,lobata,2,JASPER R,2000,36,39,4.743,0,0,Besbicus conspicuus,1,0
143,lobata,2,JASPER R,2003,6,101,7.582,0,0,Besbicus conspicuus,1,0
369,lobata,11,DYE CRK,2002,27,68,7.129,0,0,Besbicus conspicuus,1,0
483,lobata,12,SIERRA F,2001,45,40,9.016,0,0,Besbicus conspicuus,1,0
372,lobata,11,DYE CRK,2002,30,39,3.749,0,0,Besbicus conspicuus,1,0
476,lobata,12,SIERRA F,2003,38,43,6.865,0,0,Besbicus conspicuus,1,0
236,lobata,3,POZO,2003,35,125,3.836,0,0,Besbicus conspicuus,1,0
244,lobata,3,POZO,2002,50,67,7.464,0,0,Besbicus conspicuus,1,0
6,lobata,1,HNHR,2002,14,40,5.577,0,0,Besbicus conspicuus,1,0
477,lobata,12,SIERRA F,2001,39,31,7.542,0,0,Besbicus conspicuus,1,0
199,lobata,2,JASPER R,2000,83,80,12.525,0,0,Besbicus conspicuus,1,0
469,lobata,8,LIEBRE M,2002,45,32,4.742,0,0,Besbicus conspicuus,1,0
187,lobata,2,JASPER R,2001,69,43,3.905,0,0,Besbicus conspicuus,1,0
478,lobata,12,SIERRA F,2002,40,45,8.733,0,0,Besbicus conspicuus,1,0
32,lobata,1,HNHR,2002,62,51,5.777,0,0,Besbicus conspicuus,1,0
443,lobata,15,KAWEAH O,2001,3,76,5.921,0,0,Besbicus conspicuus,1,0
484,lobata,12,SIERRA F,2002,46,40,9.677,0,0,Besbicus conspicuus,1,0
274,lobata,4,SEDGWICK,2001,27,39,7.642,0,0,Besbicus conspicuus,1,0
437,lobata,9,HOPLAND,2002,69,31,7.498,0,0,Besbicus conspicuus,1,0
90,lobata,1,HNHR,2000,179,32,6.437,0,0,Besbicus conspicuus,1,0
31,lobata,1,HNHR,2001,61,38,5.669,0,0,Besbicus conspicuus,1,0
137,lobata,1,HNHR,2003,247,48,7.406,0,0,Besbicus conspicuus,1,0
89,lobata,1,HNHR,2000,177,35,3.719,0,0,Besbicus conspicuus,1,0
60,lobata,1,HNHR,2002,131,48,5.372,0,0,Besbicus conspicuus,1,0
184,lobata,2,JASPER R,2001,66,20,1.937,0,0,Besbicus conspicuus,1,0
249,lobata,3,POZO,2000,56,53,5.922,0,0,Besbicus conspicuus,1,0
96,lobata,1,HNHR,2002,188,45,5.253,0,0,Besbicus conspicuus,1,0
179,lobata,2,JASPER R,2000,60,48,6.401,0,0,Besbicus conspicuus,1,0
255,lobata,3,POZO,2000,74,61,10.656,0,0,Besbicus conspicuus,1,0
189,lobata,2,JASPER R,2002,71,39,5.607,2,0.367,Besbicus conspicuus,1,0
113,lobata,1,HNHR,2003,214,56,6.709,0,0,Besbicus conspicuus,1,0
141,lobata,2,JASPER R,2002,2,34,2.454,0,0,Besbicus conspicuus,1,0
150,lobata,2,JASPER R,2002,14,22,3.27,0,0,Besbicus conspicuus,1,0
374,lobata,11,DYE CRK,2000,32,46,5.808,0,0,Besbicus conspicuus,1,0
43,lobata,1,HNHR,2002,98,32,6.671,0,0,Besbicus conspicuus,1,0
198,lobata,2,JASPER R,2002,82,44,6.335,0,0,Besbicus conspicuus,1,0
104,lobata,1,HNHR,2000,199,23,2.54,0,0,Besbicus conspicuus,1,0
234,lobata,3,POZO,2000,32,64,2.297,0,0,Besbicus conspicuus,1,0
84,lobata,1,HNHR,2003,169,79,8.795,0,0,Besbicus conspicuus,1,0
205,lobata,2,JASPER R,2002,97,39,8.122,1,0.191,Besbicus conspicuus,1,0
434,lobata,9,HOPLAND,2003,66,102,8.02,0,0,Besbicus conspicuus,1,0
202,lobata,2,JASPER R,2001,91,32,5.418,0,0,Besbicus conspicuus,1,0
179,lobata,2,JASPER R,2001,60,48,6.554,0,0,Besbicus conspicuus,1,0
279,lobata,4,SEDGWICK,2003,43,50,6.792,0,0,Besbicus conspicuus,1,0
483,lobata,12,SIERRA F,2003,45,56,8.375,0,0,Besbicus conspicuus,1,0
109,lobata,1,HNHR,2003,210,25,10.03,0,0,Besbicus conspicuus,1,0
114,lobata,1,HNHR,2003,215,45,3.848,0,0,Besbicus conspicuus,1,0
78,lobata,1,HNHR,2002,160,18,6.268,0,0,Besbicus conspicuus,1,0
191,lobata,2,JASPER R,2003,73,42,9.411,0,0,Besbicus conspicuus,1,0
207,lobata,2,JASPER R,2002,99,57,6.195,0,0,Besbicus conspicuus,1,0
466,lobata,8,LIEBRE M,2000,42,29,3.461,0,0,Besbicus conspicuus,1,0
243,lobata,3,POZO,2001,49,52,7.062,0,0,Besbicus conspicuus,1,0
88,lobata,1,HNHR,2001,174,41,8.811,0,0,Besbicus conspicuus,1,0
150,lobata,2,JASPER R,2001,14,47,3.023,0,0,Besbicus conspicuus,1,0
189,lobata,2,JASPER R,2003,71,48,5.035,0,0,Besbicus conspicuus,1,0
341,lobata,10,TOWER HS,2003,56,36,4.801,0,0,Besbicus conspicuus,1,0
165,lobata,2,JASPER R,2000,38,38,11.042,0,0,Besbicus conspicuus,1,0
37,lobata,1,HNHR,2002,74,44,4.687,0,0,Besbicus conspicuus,1,0
177,lobata,2,JASPER R,2001,58,73,7.41,0,0,Besbicus conspicuus,1,0
122,lobata,1,HNHR,2002,225,37,8.777,0,0,Besbicus conspicuus,1,0
77,lobata,1,HNHR,2003,159,76,10.241,0,0,Besbicus conspicuus,1,0
42,lobata,1,HNHR,2002,92,57,6.96,0,0,Besbicus conspicuus,1,0
234,lobata,3,POZO,2003,32,38,5.711,0,0,Besbicus conspicuus,1,0
4,lobata,1,HNHR,2000,6,28,4.652,0,0,Besbicus conspicuus,1,0
146,lobata,2,JASPER R,2003,9,41,4.568,0,0,Besbicus conspicuus,1,0
342,lobata,10,TOWER HS,2001,57,63,5.077,0,0,Besbicus conspicuus,1,0
7,lobata,1,HNHR,2000,15,28,5.796,0,0,Besbicus conspicuus,1,0
69,lobata,1,HNHR,2002,150,53,5.393,0,0,Besbicus conspicuus,1,0
380,lobata,11,DYE CRK,2003,38,58,7.03,0,0,Besbicus conspicuus,1,0
89,lobata,1,HNHR,2001,177,31,5.348,0,0,Besbicus conspicuus,1,0
88,lobata,1,HNHR,2000,174,25,4.571,0,0,Besbicus conspicuus,1,0
69,lobata,1,HNHR,2000,150,50,4.815,0,0,Besbicus conspicuus,1,0
341,lobata,10,TOWER HS,2002,56,37,5.739,0,0,Besbicus conspicuus,1,0
252,lobata,3,POZO,2003,59,54,5.485,0,0,Besbicus conspicuus,1,0
34,lobata,1,HNHR,2001,66,29,4.321,0,0,Besbicus conspicuus,1,0
243,lobata,3,POZO,2002,49,32,4.012,0,0,Besbicus conspicuus,1,0
215,lobata,3,POZO,2001,10,38,6.862,0,0,Besbicus conspicuus,1,0
366,lobata,11,DYE CRK,2001,24,46,6.351,17,0.012,Besbicus conspicuus,1,0
78,lobata,1,HNHR,2003,160,46,11.013,0,0,Besbicus conspicuus,1,0
449,lobata,15,KAWEAH O,2003,9,28,4.719,0,0,Besbicus conspicuus,1,0
337,lobata,10,TOWER HS,2002,52,46,5.925,0,0,Besbicus conspicuus,1,0
285,lobata,4,SEDGWICK,2003,49,68,5.46,0,0,Besbicus conspicuus,1,0
253,lobata,3,POZO,2001,60,101,11.337,0,0,Besbicus conspicuus,1,0
87,lobata,1,HNHR,2001,173,64,9.131,0,0,Besbicus conspicuus,1,0
107,lobata,1,HNHR,2003,207,55,6.326,0,0,Besbicus conspicuus,1,0
197,lobata,2,JASPER R,2003,81,58,7.953,0,0,Besbicus conspicuus,1,0
284,lobata,4,SEDGWICK,2002,48,23,3.724,0,0,Besbicus conspicuus,1,0
238,lobata,3,POZO,2003,40,49,3.298,0,0,Besbicus conspicuus,1,0
96,lobata,1,HNHR,2001,188,46,5.953,0,0,Besbicus conspicuus,1,0
380,lobata,11,DYE CRK,2002,38,75,6.542,0,0,Besbicus conspicuus,1,0
367,lobata,11,DYE CRK,2002,25,26,6.622,0,0,Besbicus conspicuus,1,0
336,lobata,10,TOWER HS,2000,11,22,3.323,0,0,Besbicus conspicuus,1,0
235,lobata,3,POZO,2002,34,35,5.292,0,0,Besbicus conspicuus,1,0
442,lobata,15,KAWEAH O,2000,2,54,5.892,0,0,Besbicus conspicuus,1,0
206,lobata,2,JASPER R,2000,98,70,8.513,0,0,Besbicus conspicuus,1,0
469,lobata,8,LIEBRE M,2000,45,45,3.601,0,0,Besbicus conspicuus,1,0
218,lobata,3,POZO,2002,14,26,4.761,0,0,Besbicus conspicuus,1,0
193,lobata,2,JASPER R,2001,75,25,5.554,0,0,Besbicus conspicuus,1,0
242,lobata,3,POZO,2002,48,47,4.629,0,0,Besbicus conspicuus,1,0
57,lobata,1,HNHR,2003,127,33,5.342,0,0,Besbicus conspicuus,1,0
251,lobata,3,POZO,2003,58,35,4.04,0,0,Besbicus conspicuus,1,0
77,lobata,1,HNHR,2001,159,63,8.305,0,0,Besbicus conspicuus,1,0
205,lobata,2,JASPER R,2001,97,27,6.221,0,0,Besbicus conspicuus,1,0
331,lobata,10,TOWER HS,2002,5,27,5.73,0,0,Besbicus conspicuus,1,0
182,lobata,2,JASPER R,2002,63,36,4.329,0,0,Besbicus conspicuus,1,0
238,lobata,3,POZO,2002,40,76,4.332,0,0,Besbicus conspicuus,1,0
470,lobata,8,LIEBRE M,2000,46,26,4.943,0,0,Besbicus conspicuus,1,0
467,lobata,8,LIEBRE M,2002,43,29,4.084,0,0,Besbicus conspicuus,1,0
131,lobata,1,HNHR,2003,239,39,6.256,0,0,Besbicus conspicuus,1,0
479,lobata,12,SIERRA F,2001,41,42,10.024,0,0,Besbicus conspicuus,1,0
375,lobata,11,DYE CRK,2001,33,31,10.415,0,0,Besbicus conspicuus,1,0
246,lobata,3,POZO,2001,53,52,10.125,0,0,Besbicus conspicuus,1,0
333,lobata,10,TOWER HS,2000,8,38,4.735,0,0,Besbicus conspicuus,1,0
469,lobata,8,LIEBRE M,2001,45,30,5.272,0,0,Besbicus conspicuus,1,0
29,lobata,1,HNHR,2002,57,59,6.235,0,0,Besbicus conspicuus,1,0
474,lobata,8,LIEBRE M,2001,50,55,7.344,0,0,Besbicus conspicuus,1,0
442,lobata,15,KAWEAH O,2001,2,45,4.371,0,0,Besbicus conspicuus,1,0
57,lobata,1,HNHR,2002,127,40,4.972,0,0,Besbicus conspicuus,1,0
374,lobata,11,DYE CRK,2002,32,41,5.019,0,0,Besbicus conspicuus,1,0
9,lobata,1,HNHR,2001,17,23,5.143,0,0,Besbicus conspicuus,1,0
105,lobata,1,HNHR,2000,201,41,4.45,0,0,Besbicus conspicuus,1,0
25,lobata,1,HNHR,2002,52,38,8.023,0,0,Besbicus conspicuus,1,0
97,lobata,1,HNHR,2002,189,58,4.124,0,0,Besbicus conspicuus,1,0
66,lobata,1,HNHR,2000,143,73,7.344,0,0,Besbicus conspicuus,1,0
370,lobata,11,DYE CRK,2003,28,18,2.258,0,0,Besbicus conspicuus,1,0
192,lobata,2,JASPER R,2001,74,19,2.781,0,0,Besbicus conspicuus,1,0
192,lobata,2,JASPER R,2003,74,34,5.012,0,0,Besbicus conspicuus,1,0
467,lobata,8,LIEBRE M,2001,43,34,8.356,0,0,Besbicus conspicuus,1,0
4,lobata,1,HNHR,2003,6,40,5.57,0,0,Besbicus conspicuus,1,0
449,lobata,15,KAWEAH O,2000,9,44,7.584,0,0,Besbicus conspicuus,1,0
342,lobata,10,TOWER HS,2000,57,86,7.187,0,0,Besbicus conspicuus,1,0
156,lobata,2,JASPER R,2003,24,53,7.415,0,0,Besbicus conspicuus,1,0
71,lobata,1,HNHR,2001,152,36,5.275,0,0,Besbicus conspicuus,1,0
475,lobata,8,LIEBRE M,2001,51,53,6.937,0,0,Besbicus conspicuus,1,0
333,lobata,10,TOWER HS,2003,8,25,3.838,0,0,Besbicus conspicuus,1,0
35,lobata,1,HNHR,2001,68,43,5.458,0,0,Besbicus conspicuus,1,0
339,lobata,10,TOWER HS,2003,54,29,7.246,0,0,Besbicus conspicuus,1,0
37,lobata,1,HNHR,2000,74,30,5.699,0,0,Besbicus conspicuus,1,0
87,lobata,1,HNHR,2000,173,22,4.323,0,0,Besbicus conspicuus,1,0
177,lobata,2,JASPER R,2003,58,57,4.49,0,0,Besbicus conspicuus,1,0
97,lobata,1,HNHR,2001,189,84,6.282,0,0,Besbicus conspicuus,1,0
431,lobata,9,HOPLAND,2003,63,43,4.963,0,0,Besbicus conspicuus,1,0
381,lobata,11,DYE CRK,2000,39,31,8.648,0,0,Besbicus conspicuus,1,0
436,lobata,9,HOPLAND,2001,68,22,3.842,0,0,Besbicus conspicuus,1,0
1,lobata,1,HNHR,2001,1,37,6.81,0,0,Besbicus conspicuus,1,0
244,lobata,3,POZO,2001,50,67,8.021,0,0,Besbicus conspicuus,1,0
197,lobata,2,JASPER R,2002,81,41,6.992,0,0,Besbicus conspicuus,1,0
60,lobata,1,HNHR,2003,131,62,6.727,0,0,Besbicus conspicuus,1,0
102,lobata,1,HNHR,2000,197,31,4.73,0,0,Besbicus conspicuus,1,0
38,lobata,1,HNHR,2001,75,30,6.949,0,0,Besbicus conspicuus,1,0
287,lobata,4,SEDGWICK,2003,51,59,2.755,0,0,Besbicus conspicuus,1,0
33,lobata,1,HNHR,2002,64,46,4.679,0,0,Besbicus conspicuus,1,0
29,lobata,1,HNHR,2000,57,20,4.309,0,0,Besbicus conspicuus,1,0
432,lobata,9,HOPLAND,2003,64,42,8.633,0,0,Besbicus conspicuus,1,0
235,lobata,3,POZO,2001,34,68,8.453,0,0,Besbicus conspicuus,1,0
133,lobata,1,HNHR,2003,242,32,7.285,0,0,Besbicus conspicuus,1,0
165,lobata,2,JASPER R,2001,38,24,4.874,0,0,Besbicus conspicuus,1,0
371,lobata,11,DYE CRK,2000,29,36,5.183,0,0,Besbicus conspicuus,1,0
274,lobata,4,SEDGWICK,2002,27,41,5.307,0,0,Besbicus conspicuus,1,0
447,lobata,15,KAWEAH O,2002,7,38,2.853,0,0,Besbicus conspicuus,1,0
471,lobata,8,LIEBRE M,2000,47,40,6.537,0,0,Besbicus conspicuus,1,0
100,lobata,1,HNHR,2003,193,37,2.913,0,0,Besbicus conspicuus,1,0
437,lobata,9,HOPLAND,2001,69,40,6.606,0,0,Besbicus conspicuus,1,0
444,lobata,15,KAWEAH O,2001,4,65,5.644,0,0,Besbicus conspicuus,1,0
247,lobata,3,POZO,2003,54,62,7.634,0,0,Besbicus conspicuus,1,0
195,lobata,2,JASPER R,2000,79,43,7.848,1,0.098,Besbicus conspicuus,1,0
8,lobata,1,HNHR,2003,16,71,8.105,0,0,Besbicus conspicuus,1,0
80,lobata,1,HNHR,2003,163,72,7.017,0,0,Besbicus conspicuus,1,0
200,lobata,2,JASPER R,2002,88,28,3.723,0,0,Besbicus conspicuus,1,0
465,lobata,8,LIEBRE M,2002,41,33,4.426,0,0,Besbicus conspicuus,1,0
38,lobata,1,HNHR,2002,75,37,6.241,0,0,Besbicus conspicuus,1,0
35,lobata,1,HNHR,2003,68,63,6.138,0,0,Besbicus conspicuus,1,0
475,lobata,8,LIEBRE M,2003,51,41,4.435,0,0,Besbicus conspicuus,1,0
281,lobata,4,SEDGWICK,2000,45,39,9.195,0,0,Besbicus conspicuus,1,0
113,lobata,1,HNHR,2002,214,27,4.136,0,0,Besbicus conspicuus,1,0
375,lobata,11,DYE CRK,2000,33,16,3.992,0,0,Besbicus conspicuus,1,0
281,lobata,4,SEDGWICK,2002,45,27,9.79,0,0,Besbicus conspicuus,1,0
374,lobata,11,DYE CRK,2001,32,39,6.984,0,0,Besbicus conspicuus,1,0
215,lobata,3,POZO,2000,10,20,6.618,0,0,Besbicus conspicuus,1,0
474,lobata,8,LIEBRE M,2002,50,87,6.827,3,0.197,Besbicus conspicuus,1,0
373,lobata,11,DYE CRK,2000,31,47,3.493,0,0,Besbicus conspicuus,1,0
187,lobata,2,JASPER R,2003,69,86,7.908,0,0,Besbicus conspicuus,1,0
254,lobata,3,POZO,2002,72,74,5.93,0,0,Besbicus conspicuus,1,0
186,lobata,2,JASPER R,2003,68,89,4.403,0,0,Besbicus conspicuus,1,0
256,lobata,3,POZO,2001,75,43,5.227,0,0,Besbicus conspicuus,1,0
86,lobata,1,HNHR,2001,172,48,5.781,0,0,Besbicus conspicuus,1,0
38,lobata,1,HNHR,2003,75,54,9.015,0,0,Besbicus conspicuus,1,0
142,lobata,2,JASPER R,2001,5,22,-9,0,0,Besbicus conspicuus,1,0
86,lobata,1,HNHR,2003,172,144,8.613,0,0,Besbicus conspicuus,1,0
272,lobata,4,SEDGWICK,2002,23,53,7.709,0,0,Besbicus conspicuus,1,0
342,lobata,10,TOWER HS,2003,57,56,6.277,0,0,Besbicus conspicuus,1,0
249,lobata,3,POZO,2002,56,48,6.279,0,0,Besbicus conspicuus,1,0
272,lobata,4,SEDGWICK,2000,23,94,14.212,0,0,Besbicus conspicuus,1,0
255,lobata,3,POZO,2002,74,45,5.002,0,0,Besbicus conspicuus,1,0
478,lobata,12,SIERRA F,2001,40,26,4.207,0,0,Besbicus conspicuus,1,0
431,lobata,9,HOPLAND,2002,63,97,9.12,0,0,Besbicus conspicuus,1,0
239,lobata,3,POZO,2001,43,71,5.419,0,0,Besbicus conspicuus,1,0
338,lobata,10,TOWER HS,2001,53,42,9.208,0,0,Besbicus conspicuus,1,0
105,lobata,1,HNHR,2002,201,36,5.747,0,0,Besbicus conspicuus,1,0
144,lobata,2,JASPER R,2000,7,31,6.512,0,0,Besbicus conspicuus,1,0
145,lobata,2,JASPER R,2003,8,42,5.789,0,0,Besbicus conspicuus,1,0
215,lobata,3,POZO,2003,10,31,5.659,0,0,Besbicus conspicuus,1,0
77,lobata,1,HNHR,2002,159,50,7.371,0,0,Besbicus conspicuus,1,0
217,lobata,3,POZO,2001,12,80,4.774,0,0,Besbicus conspicuus,1,0
477,lobata,12,SIERRA F,2003,39,64,9.977,0,0,Besbicus conspicuus,1,0
45,lobata,1,HNHR,2001,106,46,5.815,0,0,Besbicus conspicuus,1,0
285,lobata,4,SEDGWICK,2001,49,78,6.125,0,0,Besbicus conspicuus,1,0
195,lobata,2,JASPER R,2002,79,49,6.8,0,0,Besbicus conspicuus,1,0
8,lobata,1,HNHR,2001,35,24,6.759,0,0,Besbicus conspicuus,1,0
440,lobata,9,HOPLAND,2001,72,62,5.69,0,0,Besbicus conspicuus,1,0
69,lobata,1,HNHR,2003,150,73,6.722,0,0,Besbicus conspicuus,1,0
