"","site_id","Latitude","Longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","df$individual_id","Q1","Q3","IQR","observed_on","agdd"
"15",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2018,3,1,60,2458179,14,2018,3,29,88,2458207,14,60661,61,158,97,2018-03-01,1925.49560547
"16",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2018,6,7,158,2458277,7,2018,6,14,165,2458284,7,60661,61,158,97,2018-06-07,5892.07324219
"17",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2018,2,15,46,2458165,7,2018,3,22,81,2458200,7,60662,54,117,63,2018-02-15,1332.28771973
"18",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2018,2,22,53,2458172,7,2018,4,26,116,2458235,7,64549,60,121,61,2018-02-22,1623.1315918
"19",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64558,371,"Breaking leaf buds",2018,3,1,60,2458179,14,2018,5,3,123,2458242,7,64558,60.75,89.25,28.5,2018-03-01,1925.49560547
"20",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127549,371,"Breaking leaf buds",2018,2,21,52,2458171,6,2018,3,14,73,2458192,6,127549,62,79,17,2018-02-21,1083.10412598
"21",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127550,371,"Breaking leaf buds",2018,3,6,65,2458184,13,2018,3,6,65,2458184,8,127550,58.25,75.5,17.25,2018-03-06,1570.60681152
"22",27476,29.785265,-90.110191,0,"LA",305,"Quercus","virginiana","live oak","Plantae",141907,371,"Breaking leaf buds",2018,3,23,82,2458201,28,2018,3,23,82,2458201,5,141907,72.5,81,8.5,2018-03-23,2080.18676758
"23",27477,29.793816,-90.122452,0,"LA",305,"Quercus","virginiana","live oak","Plantae",141916,371,"Breaking leaf buds",2018,2,26,57,2458176,11,2018,3,8,67,2458186,18,141916,50.25,60.25,10,2018-02-26,1327.36425781
"24",5758,28.057789,-82.424065,10,"FL",305,"Quercus","virginiana","live oak","Plantae",13058,371,"Breaking leaf buds",2019,2,23,54,2458538,8,2019,3,22,81,2458565,7,13058,100,169,69,2019-02-23,1696.96728516
"25",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2019,3,2,61,2458545,7,2019,3,30,89,2458573,21,60661,61,158,97,2019-03-02,1997.62097168
"26",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2019,8,17,229,2458713,7,2019,8,17,229,2458713,7,60661,61,158,97,2019-08-17,9773.92285156
"27",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2019,2,23,54,2458538,7,2019,3,30,89,2458573,21,60662,54,117,63,2019-02-23,1726.71203613
"28",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2019,5,4,124,2458608,14,2019,5,4,124,2458608,7,60662,54,117,63,2019-05-04,4463.20703125
"29",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2019,7,27,208,2458692,7,2019,8,24,236,2458720,7,60662,54,117,63,2019-07-27,8691.20800781
"30",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2019,2,23,54,2458538,7,2019,4,13,103,2458587,21,64549,60,121,61,2019-02-23,1726.71203613
"31",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2019,7,27,208,2458692,7,2019,8,3,215,2458699,7,64549,60,121,61,2019-07-27,8691.20800781
"32",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64558,371,"Breaking leaf buds",2019,3,2,61,2458545,7,2019,3,30,89,2458573,21,64558,60.75,89.25,28.5,2019-03-02,1997.62097168
"33",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127549,371,"Breaking leaf buds",2019,3,20,79,2458563,8,2019,3,26,85,2458569,8,127549,62,79,17,2019-03-20,2025.49365234
"34",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127550,371,"Breaking leaf buds",2019,3,6,65,2458549,9,2019,3,12,71,2458555,8,127550,58.25,75.5,17.25,2019-03-06,1619.2520752
"35",27476,29.785265,-90.110191,0,"LA",305,"Quercus","virginiana","live oak","Plantae",141907,371,"Breaking leaf buds",2019,3,21,80,2458564,7,2019,3,21,80,2458564,1,141907,72.5,81,8.5,2019-03-21,2063.96923828
"36",27477,29.793816,-90.122452,0,"LA",305,"Quercus","virginiana","live oak","Plantae",141916,371,"Breaking leaf buds",2019,3,8,67,2458551,22,2019,3,8,67,2458551,20,141916,50.25,60.25,10,2019-03-08,1665.69213867
"37",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2020,2,29,60,2458909,28,2020,3,21,81,2458930,7,60661,61,158,97,2020-02-29,1965.11315918
"38",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2020,6,13,165,2459014,14,2020,6,27,179,2459028,7,60661,61,158,97,2020-06-13,6560.34033203
"39",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2020,2,29,60,2458909,28,2020,4,18,109,2458958,7,60662,54,117,63,2020-02-29,1965.11315918
"40",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2020,6,13,165,2459014,14,2020,7,4,186,2459035,7,60662,54,117,63,2020-06-13,6560.34033203
"41",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2020,2,29,60,2458909,28,2020,3,21,81,2458930,7,64549,60,121,61,2020-02-29,1965.11315918
"42",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64558,371,"Breaking leaf buds",2020,2,29,60,2458909,28,2020,4,4,95,2458944,7,64558,60.75,89.25,28.5,2020-02-29,1965.11315918
"43",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64558,371,"Breaking leaf buds",2020,5,2,123,2458972,7,2020,5,23,144,2458993,7,64558,60.75,89.25,28.5,2020-05-02,4568.06542969
"44",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127549,371,"Breaking leaf buds",2020,3,4,64,2458913,7,2020,3,20,80,2458929,73,127549,62,79,17,2020-03-04,1643.82214355
"45",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127550,371,"Breaking leaf buds",2020,2,26,57,2458906,8,2020,3,20,80,2458929,73,127550,58.25,75.5,17.25,2020-02-26,1458.25134277
"46",27476,29.785265,-90.110191,0,"LA",305,"Quercus","virginiana","live oak","Plantae",141907,371,"Breaking leaf buds",2020,3,5,65,2458914,4,2020,3,20,80,2458929,7,141907,72.5,81,8.5,2020-03-05,1681.82019043
"47",27477,29.793816,-90.122452,0,"LA",305,"Quercus","virginiana","live oak","Plantae",141916,371,"Breaking leaf buds",2020,2,27,58,2458907,49,2020,3,20,80,2458929,176,141916,50.25,60.25,10,2020-02-27,1487.28527832
"48",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2021,3,13,72,2459287,21,2021,3,20,79,2459294,7,60661,61,158,97,2021-03-13,2331.38671875
"49",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2021,3,13,72,2459287,21,2021,3,20,79,2459294,7,60662,54,117,63,2021-03-13,2331.38671875
"50",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2021,3,13,72,2459287,21,2021,3,27,86,2459301,7,64549,60,121,61,2021-03-13,2331.38671875
"51",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2021,5,1,121,2459336,14,2021,5,1,121,2459336,14,64549,60,121,61,2021-05-01,4312.59179688
"52",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64558,371,"Breaking leaf buds",2021,3,13,72,2459287,21,2021,4,3,93,2459308,14,64558,60.75,89.25,28.5,2021-03-13,2331.38671875
"53",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127549,371,"Breaking leaf buds",2021,3,3,62,2459277,7,2021,3,3,62,2459277,4,127549,62,79,17,2021-03-03,1258.49658203
"54",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127549,371,"Breaking leaf buds",2021,3,10,69,2459284,3,2021,4,12,102,2459317,7,127549,62,79,17,2021-03-10,1434.71655273
"55",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127550,371,"Breaking leaf buds",2021,2,3,34,2459249,6,2021,2,10,41,2459256,7,127550,58.25,75.5,17.25,2021-02-03,695.528930664
"56",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127550,371,"Breaking leaf buds",2021,3,3,62,2459277,7,2021,3,7,66,2459281,3,127550,58.25,75.5,17.25,2021-03-03,1258.49658203
"57",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127550,371,"Breaking leaf buds",2021,3,17,76,2459291,7,2021,4,12,102,2459317,7,127550,58.25,75.5,17.25,2021-03-17,1703.89746094
