"Obs.ID","Obs.Date","Sub.Date","Update.Date","User","Taxon.ID","Taxon.Name","Taxon.Common.Name","Grade","Latitude","Longitude","Accuracy..m.","Place.Description","Life.Stage","Evidence.of.Presence","Gall.Generation","Gall.Phenophase","observed_on","agdd","phenogen"
113504638,"2022-04-29T09:11:00-05:00","2022-04-29T13:48:15-05:00","2022-05-20T18:12:10-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.4220274049,-97.8530442734,4,"The Parke, Austin, TX 78726, USA",NA,"29","unisexual","oviscar","2022-04-29",2912.19116211,"Agamic Oviscar"
113409927,"2022-04-14T17:23:00-05:00","2022-04-29T09:22:27-05:00","2022-05-15T23:24:54-05:00","arnanthescout",1195335,"Belonocnema kinseyi",NA,"research",30.5357002388,-97.632404055,2,"Texas, US",NA,"29","bisexual","perimature","2022-04-14",2224.78076172,"Sexgen Perimature"
113308097,"2022-04-12T23:30:00-05:00","2022-04-28T22:06:09-05:00","2022-04-30T00:21:00-05:00","assmann",1195335,"Belonocnema kinseyi",NA,"research",33.035321,-96.7280318,195,"Papeete Dr, Plano, TX 75075, USA",2,"24","bisexual","","2022-04-12",1995.80273438,"Sexgen Adult"
113127462,"2022-04-22","2022-04-27T14:24:40-05:00","2022-05-21T17:02:09-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"casual",30.2846684805,-97.7161837029,4,"East Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-22",2701.23168945,"Sexgen Adult"
113043386,"2022-04-12T00:12:00-05:00","2022-04-26T20:34:13-05:00","2022-04-27T01:28:04-05:00","assmann",1195335,"Belonocnema kinseyi",NA,"research",33.035321,-96.7280318,195,"Papeete Dr, Plano, TX 75075, USA",2,"24","bisexual","","2022-04-12",1995.80273438,"Sexgen Adult"
113018841,"2022-04-26T12:13:00-05:00","2022-04-26T16:30:14-05:00","2022-05-15T23:20:36-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.270796537,-97.7146357396,8,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","developing","2022-04-26",2882.71606445,"Agamic Developing"
112923936,"2022-04-11T23:28:00-05:00","2022-04-25T21:47:10-05:00","2022-04-26T21:20:41-05:00","assmann",1195335,"Belonocnema kinseyi",NA,"research",33.035321,-96.7280318,195,"Papeete Dr, Plano, TX 75075, USA",2,"24","bisexual","","2022-04-11",1949.47070312,"Sexgen Adult"
112738326,"2022-04-22","2022-04-24T16:18:34-05:00","2022-05-21T17:02:04-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"casual",30.2846691634,-97.7161656055,2,"East Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-22",2701.23168945,"Sexgen Adult"
112479200,"2022-04-22T22:34:50-05:00","2022-04-22T23:47:23-05:00","2022-04-26T18:47:59-05:00","scopic",1195335,"Belonocnema kinseyi",NA,"research",32.7977584582,-97.3240949972,NA,"Texas, US",2,"24","bisexual","","2022-04-22",2430.27807617,"Sexgen Adult"
112458091,"2022-04-22T16:57:04-05:00","2022-04-22T19:07:23-05:00","2022-04-23T21:49:47-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.34408,-97.743155,4,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-22",2654.76489258,"Sexgen Adult"
112458061,"2022-04-22T16:57:38-05:00","2022-04-22T19:06:56-05:00","2022-04-23T21:49:51-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.3440783333,-97.7431866667,4,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-22",2654.76489258,"Sexgen Adult"
112458045,"2022-04-22T16:59:31-05:00","2022-04-22T19:06:40-05:00","2022-04-23T21:49:56-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.344105,-97.743155,4,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-22",2654.76489258,"Sexgen Adult"
112457675,"2022-04-22T17:04:24-05:00","2022-04-22T19:04:09-05:00","2022-04-23T21:50:01-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.3440883333,-97.74315,4,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-22",2654.76489258,"Sexgen Adult"
112425622,"2022-04-22T12:47:00-05:00","2022-04-22T14:12:05-05:00","2022-05-20T11:17:22-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"casual",30.2846911619,-97.71617709,4,"East Austin, Austin, TX, USA",6,"24; 29","bisexual","developing","2022-04-22",2701.23168945,"Sexgen Developing (Larva)"
112425185,"2022-04-22T12:47:00-05:00","2022-04-22T14:08:25-05:00","2022-05-20T11:17:12-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"casual",30.2846911619,-97.71617709,4,"East Austin, Austin, TX, USA",4,"24; 29","bisexual","developing","2022-04-22",2701.23168945,"Sexgen Developing (Pupa)"
112420440,"2022-04-22T11:35:00-05:00","2022-04-22T13:31:48-05:00","2022-04-26T18:47:51-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2847090158,-97.7161702433,4,"East Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-22",2701.23168945,"Sexgen Adult"
112420439,"2022-04-22T11:40:00-05:00","2022-04-22T13:31:48-05:00","2022-05-20T11:37:30-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2847090158,-97.7161702433,4,"East Austin, Austin, TX, USA",NA,"29","bisexual","perimature","2022-04-22",2701.23168945,"Sexgen Perimature"
112420436,"2022-04-22T11:33:00-05:00","2022-04-22T13:31:47-05:00","2022-04-26T20:11:25-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2847090158,-97.7161702433,4,"East Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-22",2701.23168945,"Sexgen Adult"
112420433,"2022-04-22T11:31:00-05:00","2022-04-22T13:31:47-05:00","2022-05-20T18:12:15-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2847090158,-97.7161702433,4,"East Austin, Austin, TX, USA",NA,"29","unisexual","oviscar","2022-04-22",2701.23168945,"Agamic Oviscar"
112352896,"2022-04-21T21:05:35-05:00","2022-04-21T23:35:06-05:00","2022-05-13T10:22:56-05:00","scopic",1195335,"Belonocnema kinseyi",NA,"research",32.7128667646,-97.2135336328,NA,"Texas, US",2,"24","bisexual","","2022-04-21",2371.37304688,"Sexgen Adult"
112301553,"2022-04-06T13:59:00-05:00","2022-04-21T14:19:31-05:00","2022-04-26T18:45:19-05:00","karaweik",1195335,"Belonocnema kinseyi",NA,"research",30.2817755866,-97.7517787003,31,"Old West Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-06",2114.03564453,"Sexgen Adult"
112240771,"2022-04-20T23:55:20-05:00","2022-04-21T01:37:31-05:00","2022-04-25T18:14:31-05:00","scopic",1195335,"Belonocnema kinseyi",NA,"research",32.7830330761,-97.2870147792,NA,"Texas, US",2,"24","bisexual","","2022-04-20",2325.34692383,"Sexgen Adult"
112174581,"2022-04-20T10:56:00-05:00","2022-04-20T12:57:43-05:00","2022-05-20T18:12:07-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2707388889,-97.7141388889,NA,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","oviscar","2022-04-20",2622.76025391,"Agamic Oviscar"
112080849,"2022-04-09T21:43:00-05:00","2022-04-19T15:25:30-05:00","2022-04-26T18:45:03-05:00","connlindajo",1195335,"Belonocnema kinseyi",NA,"research",31.2697511515,-98.6231400162,100,"Timberlake Biological Field Station, CR 427, Mills Co, TX, USA",2,"24","bisexual","","2022-04-09",1831.08520508,"Sexgen Adult"
112069472,"2022-04-19T13:36:41-05:00","2022-04-19T13:41:11-05:00","2022-04-25T18:14:23-05:00","ratdogace",1195335,"Belonocnema kinseyi",NA,"research",32.4408808349,-99.6973109432,3,"Parson's Rd, Abilene, TX, US",2,"24","bisexual","","2022-04-19",2117.14111328,"Sexgen Adult"
112062266,"2022-04-19T12:10:30-05:00","2022-04-19T12:39:05-05:00","2022-04-25T18:14:17-05:00","neon_the_iguana",1195335,"Belonocnema kinseyi",NA,"research",29.5825783333,-98.6203383333,9,"The University of Texas at San Antonio - Convocation Center, San Antonio, TX, US",2,"24","bisexual","","2022-04-19",2718.50219727,"Sexgen Adult"
112001127,"2022-04-14T21:11:01-05:00","2022-04-18T21:21:14-05:00","2022-04-25T18:14:11-05:00","adrianj",1195335,"Belonocnema kinseyi",NA,"research",30.2418889986,-97.7005959872,21,"Roy G. Guerrero Colorado River Metro Park, Austin, TX, US",2,"24","bisexual","","2022-04-14",2314.77172852,"Sexgen Adult"
111997146,"2022-04-18T19:58:00-05:00","2022-04-18T20:35:30-05:00","2022-04-26T18:44:52-05:00","pfau_tarleton",1195335,"Belonocnema kinseyi",NA,"research",32.1643444994,-98.2865514257,37,"Erath County, TX, USA",2,"24","bisexual","","2022-04-18",2062.16821289,"Sexgen Adult"
111997129,"2022-04-18T19:59:00-05:00","2022-04-18T20:35:25-05:00","2022-04-26T18:44:48-05:00","pfau_tarleton",1195335,"Belonocnema kinseyi",NA,"research",32.1643444994,-98.2865514257,37,"Erath County, TX, USA",2,"24","bisexual","","2022-04-18",2062.16821289,"Sexgen Adult"
111888726,"2022-04-17T21:50:33-05:00","2022-04-17T23:54:32-05:00","2022-04-25T18:13:48-05:00","scopic",1195335,"Belonocnema kinseyi",NA,"research",32.6276126613,-97.2839581998,NA,"Texas, US",2,"24","bisexual","","2022-04-17",2130.54199219,"Sexgen Adult"
111880411,"2022-04-16T21:49:00-05:00","2022-04-17T22:09:29-05:00","2022-04-25T18:13:43-05:00","lovebirder",1195335,"Belonocnema kinseyi",NA,"research",31.6338372117,-98.2483995998,499,"Private FM2005, Hamilton, TX, USA",2,"24","bisexual","","2022-04-16",2101.04052734,"Sexgen Adult"
111774147,"2022-04-15T23:22:00-05:00","2022-04-17T08:10:44-05:00","2022-04-25T18:13:39-05:00","lovebirder",1195335,"Belonocnema kinseyi",NA,"research",31.6338372117,-98.2483995998,499,"Private FM2005, Hamilton, TX, USA",2,"24","bisexual","","2022-04-15",2058.77661133,"Sexgen Adult"
111736536,"2022-04-16T21:32:41-05:00","2022-04-16T21:53:16-05:00","2022-04-25T18:13:31-05:00","scopic",1195335,"Belonocnema kinseyi",NA,"research",32.7972377978,-97.2259327988,NA,"Texas, US",2,"24","bisexual","","2022-04-16",2200.03979492,"Sexgen Adult"
111722966,"2022-04-09T21:45:00-05:00","2022-04-16T19:32:31-05:00","2022-04-25T18:13:24-05:00","pfau_tarleton",1195335,"Belonocnema kinseyi",NA,"research",31.26984,-98.62302,NA,"Mills County, TX, USA",2,"24","bisexual","","2022-04-09",1831.08520508,"Sexgen Adult"
111693518,"2022-04-16T10:54:28-05:00","2022-04-16T15:31:26-05:00","2022-04-25T18:13:18-05:00","shannonslivinske",1195335,"Belonocnema kinseyi",NA,"research",30.3893127711,-97.7405876666,213,"REI",2,"24","bisexual","","2022-04-16",2426.65087891,"Sexgen Adult"
111692924,"2022-04-16T12:14:00-04:00","2022-04-16T16:26:44-04:00","2022-05-20T19:23:08-04:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2735583333,-97.713975,NA,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","oviscar","2022-04-16",2469.40942383,"Agamic Oviscar"
111692911,"2022-04-16T12:02:00-04:00","2022-04-16T16:26:41-04:00","2022-05-20T19:12:02-04:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2708259023,-97.7145262568,15,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","oviscar","2022-04-16",2469.40942383,"Agamic Oviscar"
111681638,"2020-10-11T09:46:10-05:00","2022-04-16T14:00:18-05:00","2022-05-21T13:20:20-05:00","barbaratobybaruch",1195335,"Belonocnema kinseyi",NA,"research",29.6920719545,-98.6602805138,26,"Paseo Oaks, San Antonio, TX, US",NA,"29","unisexual","developing","2020-10-11",11032.5058594,"Agamic Developing"
111667720,"2022-04-13T22:28:24-05:00","2022-04-16T12:19:09-05:00","2022-04-25T18:13:10-05:00","peppersandtomatoes",1195335,"Belonocnema kinseyi",NA,"research",30.2827801505,-97.7522565526,94,"Kingsbury St, Austin, TX, US",2,"24","bisexual","","2022-04-13",2376.61083984,"Sexgen Adult"
111663703,"2022-04-14T22:24:00-05:00","2022-04-16T11:49:47-05:00","2022-04-25T18:13:05-05:00","amontoya4",1195335,"Belonocnema kinseyi",NA,"research",30.2417458458,-97.7011042054,300,"Pleasant Valley, Austin, TX 78741, USA",2,"24","bisexual","","2022-04-14",2314.77172852,"Sexgen Adult"
111650376,"2021-11-12T11:44:00-08:00","2022-04-16T08:05:04-07:00","2022-05-21T14:28:00-07:00","sarabseth",1195335,"Belonocnema kinseyi",NA,"research",26.179835,-98.3664926,189,"National Butterfly Center, Butterfly Park, Mission, TX, USA",NA,"29","unisexual","developing","2021-11-12",14127.1835938,"Agamic Developing"
111600890,"2022-04-13T20:57:00-05:00","2022-04-15T21:25:25-05:00","2022-04-26T18:44:09-05:00","daniel_kamat",1195335,"Belonocnema kinseyi",NA,"research",30.2827049462,-97.7521380138,22,"Kingsbury St, Austin, TX, US",2,"24","bisexual","","2022-04-13",2376.61083984,"Sexgen Adult"
111600178,"2022-04-13T21:01:00-05:00","2022-04-15T21:16:59-05:00","2022-04-25T18:12:52-05:00","daniel_kamat",1195335,"Belonocnema kinseyi",NA,"research",30.282697234,-97.7521258515,30,"Kingsbury St, Austin, TX, US",2,"24","bisexual","","2022-04-13",2376.61083984,"Sexgen Adult"
111560092,"2022-04-13T21:02:00-05:00","2022-04-15T14:57:41-05:00","2022-05-20T18:13:13-05:00","cmeckerman",1195335,"Belonocnema kinseyi",NA,"research",30.2829284624,-97.752742976,226,"Old West Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-13",2376.61083984,"Sexgen Adult"
111542727,"2022-04-14T23:01:00-05:00","2022-04-15T12:38:02-05:00","2022-05-20T18:13:26-05:00","lovebirder",1195335,"Belonocnema kinseyi",NA,"research",31.6338372117,-98.2483995998,499,"Private FM2005, Hamilton, TX, USA",2,"24","bisexual","","2022-04-14",2028.42858887,"Sexgen Adult"
111483139,"2022-04-14T11:15:13-05:00","2022-04-14T21:41:09-05:00","2022-05-20T18:12:58-05:00","bnm50",1195335,"Belonocnema kinseyi",NA,"research",29.5417216667,-98.5032883333,4,"Serenade Dr, San Antonio, TX, US",2,"24","bisexual","","2022-04-14",2499.83862305,"Sexgen Adult"
111451925,"2022-04-13T21:42:03-05:00","2022-04-14T15:25:54-05:00","2022-05-20T18:12:52-05:00","crabshack",1195335,"Belonocnema kinseyi",NA,"research",30.2880175001,-97.7531290582,1305,"W 24th St, Austin, TX, US",2,"24","bisexual","","2022-04-13",2376.61083984,"Sexgen Adult"
111387061,"2022-04-11T07:07:00-05:00","2022-04-14T00:44:40-05:00","2022-05-20T18:12:43-05:00","blacknbluesa1",1195335,"Belonocnema kinseyi",NA,"research",29.6485332556,-98.5353110546,NA,"Texas, US",2,"24","bisexual","","2022-04-11",2191.90405273,"Sexgen Adult"
111342718,"2022-04-13T11:45:00-04:00","2022-04-13T15:59:20-04:00","2022-05-20T19:11:55-04:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2713745264,-97.7143813914,4,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","oviscar","2022-04-13",2347.20751953,"Agamic Oviscar"
111225063,"2022-04-12T02:16:00-05:00","2022-04-12T13:55:01-05:00","2022-04-25T18:12:37-05:00","pufferchung",1195335,"Belonocnema kinseyi",NA,"research",30.5489131105,-97.6882832408,NA,"Texas, US",2,"24","bisexual","","2022-04-12",2172.02270508,"Sexgen Adult"
111159478,"2022-04-11T03:30:00-05:00","2022-04-11T20:55:09-05:00","2022-04-25T18:12:30-05:00","pufferchung",1195335,"Belonocnema kinseyi",NA,"research",30.4511916352,-97.6382463387,NA,"Texas, US",2,"24","bisexual","","2022-04-11",2163.35595703,"Sexgen Adult"
111065057,"2022-04-10T23:27:00-05:00","2022-04-11T00:01:36-05:00","2022-05-20T18:08:34-05:00","jgw_atx",1195335,"Belonocnema kinseyi",NA,"research",30.3666347373,-97.6743931616,100,"Windsor Hills, Austin, TX, USA",2,"24","bisexual","","2022-04-10",2174.38085938,"Sexgen Adult"
110993259,"2022-04-07T20:06:00-05:00","2022-04-10T13:48:50-05:00","2022-05-20T18:08:05-05:00","jcochran706",1195335,"Belonocnema kinseyi",NA,"research",30.2418880353,-97.7010115768,50,"Pleasant Valley, Austin, TX 78741, USA",2,"24","bisexual","","2022-04-07",2052.58398438,"Sexgen Adult"
110959712,"2022-04-05T17:39:13-05:00","2022-04-10T08:47:08-05:00","2022-04-25T18:34:21-05:00","mikag",1195335,"Belonocnema kinseyi",NA,"research",30.4657893449,-97.6126876078,4925,"Texas, US",2,"24","bisexual","","2022-04-05",1915.46923828,"Sexgen Adult"
110828610,"2022-04-08T02:48:00-05:00","2022-04-09T04:21:38-05:00","2022-05-20T18:07:54-05:00","jciv",1195335,"Belonocnema kinseyi",NA,"research",26.2315925,-98.2112162,185,"Emerald Point",2,"24","bisexual","","2022-04-08",2960.61157227,"Sexgen Adult"
110803474,"2022-04-08T16:53:40-05:00","2022-04-08T19:53:01-05:00","2022-05-20T18:07:50-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.344155,-97.743195,4,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-08",2105.35083008,"Sexgen Adult"
110803241,"2022-04-08T16:54:36-05:00","2022-04-08T19:50:01-05:00","2022-05-20T18:07:45-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.34412,-97.7432466667,4,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-08",2105.35083008,"Sexgen Adult"
110802732,"2022-04-08T17:02:54-05:00","2022-04-08T19:42:25-05:00","2022-04-25T18:12:19-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.3441533333,-97.743155,5,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-08",2105.35083008,"Sexgen Adult"
110802423,"2022-04-08T17:06:54-05:00","2022-04-08T19:37:57-05:00","2022-05-20T11:37:00-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.34412,-97.7432116667,4,"Twin Oaks Dr, Austin, TX, US",NA,"29","bisexual","developing","2022-04-08",2105.35083008,"Sexgen Developing"
110784072,"2022-04-08T12:48:00-04:00","2022-04-08T16:58:12-04:00","2022-04-25T19:11:53-04:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.1894086817,-97.871732331,4,"Circle C Ranch, Austin, TX, USA",2,"24","bisexual","","2022-04-08",2064.0222168,"Sexgen Adult"
110766116,"2022-04-06T20:37:00-05:00","2022-04-08T12:27:54-05:00","2022-04-25T18:11:48-05:00","cmeckerman",1195335,"Belonocnema kinseyi",NA,"research",30.2819483919,-97.7517411277,109,"Old West Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-06",2114.03564453,"Sexgen Adult"
110758235,"2022-04-05T21:33:00-05:00","2022-04-08T11:02:49-05:00","2022-04-25T18:11:42-05:00","cmeckerman",1195335,"Belonocnema kinseyi",NA,"research",30.1597232959,-97.8459496362,33,"Estates Of Bauerle Ranch, Austin, TX 78748, USA",2,"24","bisexual","","2022-04-05",1957.6784668,"Sexgen Adult"
110748864,"2022-04-08T08:01:11-05:00","2022-04-08T08:50:25-05:00","2022-05-20T18:07:29-05:00","mgsikes",1195335,"Belonocnema kinseyi",NA,"research",30.3965579053,-97.8688235579,22,"Texas, US",2,"24","bisexual","","2022-04-08",2080.94287109,"Sexgen Adult"
110717484,"2022-04-06T21:57:00-05:00","2022-04-07T21:10:41-05:00","2022-05-20T18:07:25-05:00","william_odonnell5",1195335,"Belonocnema kinseyi",NA,"research",30.2822304821,-97.7519816552,78,"Old West Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-06",2114.03564453,"Sexgen Adult"
110717362,"2022-04-06T21:40:00-05:00","2022-04-07T21:09:21-05:00","2022-05-20T18:07:20-05:00","william_odonnell5",1195335,"Belonocnema kinseyi",NA,"research",30.2822304821,-97.7519816552,78,"Old West Austin, Austin, TX, USA",2,"24","bisexual","","2022-04-06",2114.03564453,"Sexgen Adult"
110713614,"2022-04-05T20:21:00-05:00","2022-04-07T20:13:32-05:00","2022-05-20T18:07:16-05:00","pfau_tarleton",1195335,"Belonocnema kinseyi",NA,"research",32.1646189903,-98.2862137504,10,"Erath County, TX, USA",2,"24","bisexual","","2022-04-05",1611.79064941,"Sexgen Adult"
110693705,"2022-04-07T14:45:59-05:00","2022-04-07T15:48:02-05:00","2022-05-20T18:07:11-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.34435,-97.7431633333,45,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-07",2075.53393555,"Sexgen Adult"
110693255,"2022-04-07T14:54:21-05:00","2022-04-07T15:41:16-05:00","2022-05-20T11:36:51-05:00","riverahlquist",1195335,"Belonocnema kinseyi",NA,"research",30.3440533333,-97.7432033333,4,"Twin Oaks Dr, Austin, TX, US",NA,"29","bisexual","perimature","2022-04-07",2075.53393555,"Sexgen Perimature"
110691744,"2022-04-07T15:13:11+00:00","2022-04-07T20:21:37+00:00","2022-05-20T23:07:07+00:00","kbeisner",1195335,"Belonocnema kinseyi",NA,"research",30.3443799643,-97.7430301907,19,"Twin Oaks Dr, Austin, TX, US",2,"24","bisexual","","2022-04-07",2075.53393555,"Sexgen Adult"
