"Date.first.break","Host.plant","observed_on","Latitude","Longitude","agdd32","agdd50"
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/5/2017","Quercus virginiana","2017-03-05",29.88616,-97.94669,1760.21057129,670.409545898
"3/5/2017","Quercus virginiana","2017-03-05",29.88616,-97.94669,1760.21057129,670.409545898
"3/5/2017","Quercus virginiana","2017-03-05",29.88616,-97.94669,1760.21057129,670.409545898
"3/6/2017","Quercus virginiana","2017-03-06",29.88616,-97.94669,1793.70861816,685.907531738
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/12/2017","Quercus virginiana","2017-03-12",29.88616,-97.94669,2006.96362305,791.162475586
"3/12/2017","Quercus virginiana","2017-03-12",29.88616,-97.94669,2006.96362305,791.162475586
"3/13/2017","Quercus virginiana","2017-03-13",29.88616,-97.94669,2025.10766602,791.30645752
"3/13/2017","Quercus virginiana","2017-03-13",29.88616,-97.94669,2025.10766602,791.30645752
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/22/2017","Quercus virginiana","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus virginiana","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus virginiana","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
