"id","observed_on","url","latitude","longitude","place_country_name","scientific_name","field.gall.phenophase","agdd"
95313456,"2021-08-23","https://www.inaturalist.org/observations/95313456",43.0332055,-76.1336138333,"United States","Melikaiella ostensackeni","perimature",4909.30810547
95893400,"2021-09-23","https://www.inaturalist.org/observations/95893400",38.4636675915,-78.0457283752,"United States","Melikaiella ostensackeni","senescent",7290.63476562
95893404,"2021-09-23","https://www.inaturalist.org/observations/95893404",38.4636675915,-78.0457283752,"United States","Melikaiella ostensackeni","senescent",7290.63476562
97307115,"2021-10-05","https://www.inaturalist.org/observations/97307115",38.8366698757,-77.5047577234,"United States","Melikaiella ostensackeni","senescent",7825.80126953
97844210,"2021-10-09","https://www.inaturalist.org/observations/97844210",40.6531831093,-73.9932095457,"United States","Melikaiella ostensackeni","senescent",7883.97900391
98043552,"2021-10-12","https://www.inaturalist.org/observations/98043552",40.6531903279,-73.9932041813,"United States","Melikaiella ostensackeni","senescent",7985.95800781
98839068,"2021-10-20","https://www.inaturalist.org/observations/98839068",43.6028656485,-84.2899557007,"United States","Melikaiella ostensackeni","senescent",6596.90625
101005144,"2021-11-13","https://www.inaturalist.org/observations/101005144",39.47412857,-77.74553531,"United States","Melikaiella ostensackeni","senescent",8422.14257812
101209171,"2016-05-27","https://www.inaturalist.org/observations/101209171",41.6752746276,-91.537081772,"United States","Melikaiella ostensackeni","developing",1754.36889648
102337645,"2021-11-20","https://www.inaturalist.org/observations/102337645",41.9857305556,-87.6888972222,"United States","Melikaiella ostensackeni","senescent",7689.43261719
103517801,"2021-09-24","https://www.inaturalist.org/observations/103517801",42.4655555556,-75.0661111111,"United States","Melikaiella ostensackeni","senescent",5367.64306641
109603913,"2022-03-26","https://www.inaturalist.org/observations/109603913",32.3353596421,-86.7953751971,"United States","Melikaiella ostensackeni","developing",1541.91467285
110049362,"2022-03-26","https://www.inaturalist.org/observations/110049362",32.2103244499,-86.776727627,"United States","Melikaiella ostensackeni","developing",1545.35302734
110089450,"2017-07-28","https://www.inaturalist.org/observations/110089450",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",5222.34814453
110089593,"2017-06-02","https://www.inaturalist.org/observations/110089593",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",2843.16210938
110089841,"2017-06-27","https://www.inaturalist.org/observations/110089841",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",3844.77148438
110090217,"2017-07-26","https://www.inaturalist.org/observations/110090217",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",5136.1640625
110090489,"2017-05-08","https://www.inaturalist.org/observations/110090489",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",2047.29199219
110091935,"2017-05-16","https://www.inaturalist.org/observations/110091935",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",2233.54711914
110092125,"2017-05-04","https://www.inaturalist.org/observations/110092125",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",1956.796875
110092478,"2017-04-28","https://www.inaturalist.org/observations/110092478",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",1737.79992676
110092609,"2017-05-02","https://www.inaturalist.org/observations/110092609",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",1903.47192383
110092745,"2017-05-01","https://www.inaturalist.org/observations/110092745",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",1866.99487305
110092997,"2016-06-07","https://www.inaturalist.org/observations/110092997",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",2683.47412109
110093277,"2017-06-26","https://www.inaturalist.org/observations/110093277",38.9226,-78.4258,"United States","Melikaiella ostensackeni","perimature",3810.40942383
110093394,"2016-06-08","https://www.inaturalist.org/observations/110093394",38.9226,-78.4258,"United States","Melikaiella ostensackeni","developing",2720.1940918
111692975,"2022-04-16","https://www.inaturalist.org/observations/111692975",30.2677806952,-97.7144325853,"United States","Melikaiella ostensackeni","developing",2469.40942383
111692981,"2022-04-16","https://www.inaturalist.org/observations/111692981",30.2677806952,-97.7144325853,"United States","Melikaiella ostensackeni","developing",2469.40942383
112579381,"2022-04-23","https://www.inaturalist.org/observations/112579381",30.267756748,-97.7144089847,"United States","Melikaiella ostensackeni","developing",2757.20214844
113538153,"2022-04-29","https://www.inaturalist.org/observations/113538153",30.4195305556,-97.8514333333,"United States","Melikaiella ostensackeni","developing",2912.19116211
113538564,"2022-04-29","https://www.inaturalist.org/observations/113538564",30.4232883612,-97.850034347,"United States","Melikaiella ostensackeni","developing",2912.19116211
115457525,"2022-05-04","https://www.inaturalist.org/observations/115457525",30.4213664033,-97.851324771,"United States","Melikaiella ostensackeni","senescent",3146.11010742
117010561,"2022-05-14","https://www.inaturalist.org/observations/117010561",30.2677264292,-97.7144106273,"United States","Melikaiella ostensackeni","developing",3719.49951172
117010563,"2022-05-14","https://www.inaturalist.org/observations/117010563",30.2677373808,-97.7144168135,"United States","Melikaiella ostensackeni","developing",3719.49951172
117030754,"2022-05-14","https://www.inaturalist.org/observations/117030754",40.6568772308,-73.9917645056,"United States","Melikaiella ostensackeni","developing",1677.83288574
