"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_generation","Gall_phenophase","Host_Plant_ID","agdd","adj","doy","phenogen"
43817789,"2020-04-26","Andricus quercuspetiolicola","36.1932077","-78.7318478","https://www.inaturalist.org/observations/43817789","Gall","","bisexual","developing","",2149.46020508,2059.79013248824,117,"developing_"
44096780,"2020-04-26","Andricus quercuspetiolicola","35.8173888889","-78.7235861111","https://www.inaturalist.org/observations/44096780","Gall","","bisexual","developing","",2352.73413086,2242.63216866374,117,"developing_"
44272688,"2020-04-29","Andricus quercuspetiolicola","35.1020525","-80.7441237","https://www.inaturalist.org/observations/44272688","Gall","","bisexual","developing","",2465.74633789,2308.61121608424,120,"developing_"
44675461,"2020-05-02","Andricus quercuspetiolicola","33.8465535645","-84.2755245115","https://www.inaturalist.org/observations/44675461","Gall","","bisexual","developing","54779",2592.48413086,2323.50264303772,123,"developing_"
44951861,"2020-05-03","Andricus quercuspetiolicola","38.77182","-77.06482783","https://www.inaturalist.org/observations/44951861","Gall","","bisexual","developing","",1910.51867676,1898.33522598688,124,"developing_"
44986305,"2020-05-05","Andricus quercuspetiolicola","38.4409277778","-77.1368416667","https://www.inaturalist.org/observations/44986305","Gall","","bisexual","developing","",1880,1862.82406287172,126,"developing_"
45215185,"2020-05-07","Andricus quercuspetiolicola","40.7854198292","-73.935084371","https://www.inaturalist.org/observations/45215185","Gall","","bisexual","developing","",1559.59985352,1559.38092409713,128,"developing_"
45473982,"2020-04-24","Andricus quercuspetiolicola","37.5386346407","-78.0185096338","https://www.inaturalist.org/observations/45473982","Gall","","bisexual","developing","",1813.46289062,1776.16485589729,115,"developing_"
45584803,"2020-05-10","Andricus quercuspetiolicola","36.2183943947","-83.4081596425","https://www.inaturalist.org/observations/45584803","Gall","","bisexual","developing","",2353.95800781,2265.55864103427,131,"developing_"
45619025,"2020-05-10","Andricus quercuspetiolicola","38.856131","-77.431911","https://www.inaturalist.org/observations/45619025","Gall","Egg","bisexual","developing","",1874.90551758,1863.81706232348,131,"developing_Egg"
45740251,"2020-05-02","Andricus quercuspetiolicola","38.83289667","-77.06944167","https://www.inaturalist.org/observations/45740251","Gall","","bisexual","developing","oaks",1888.00927734,1876.62590935627,123,"developing_"
45978143,"2020-05-14","Andricus quercuspetiolicola","34.1873241","-84.0909291","https://www.inaturalist.org/observations/45978143","Gall","","bisexual","developing","54779",2801.24926758,2566.62105736344,135,"developing_"
46156135,"2020-05-16","Andricus quercuspetiolicola","40.4487359722","-75.885422","https://www.inaturalist.org/observations/46156135","Gall","","bisexual","developing","",1480.53491211,1479.83782562584,137,"developing_"
46473739,"2020-05-18","Andricus quercuspetiolicola","40.65662773","-73.9959051238","https://www.inaturalist.org/observations/46473739","Gall","","bisexual","developing","861033",1898.87243652,1898.51251384953,139,"developing_"
46554212,"2020-05-19","Andricus quercuspetiolicola","39.4919626106","-74.5231156389","https://www.inaturalist.org/observations/46554212","Gall","","bisexual","developing","54779",1925.33276367,1920.47466159613,140,"developing_"
46563504,"2020-05-11","Andricus quercuspetiolicola","33.8435957706","-84.2723601184","https://www.inaturalist.org/observations/46563504","Gall","","bisexual","developing","54779",2873.52734375,2604.23387910039,132,"developing_"
46836179,"2020-05-21","Andricus quercuspetiolicola","40.6518079602","-73.992857447","https://www.inaturalist.org/observations/46836179","Gall","","bisexual","developing","54780",1980.8984375,1980.53230875464,142,"developing_"
47118984,"2020-05-24","Andricus quercuspetiolicola","38.9762352284","-76.9460917264","https://www.inaturalist.org/observations/47118984","Gall","","bisexual","developing","54779",2391.14575195,2381.50084877694,145,"developing_"
47442195,"2020-05-26","Andricus quercuspetiolicola","40.8014641811","-77.8922657669","https://www.inaturalist.org/observations/47442195","Gall","","bisexual","developing","54780",1465.81054688,1465.60603558839,147,"developing_"
47557825,"2020-05-27","Andricus quercuspetiolicola","42.5470411498","-71.4926415403","https://www.inaturalist.org/observations/47557825","Gall","","bisexual","developing","",1428.93786621,1429.6265859028,148,"developing_"
47589166,"2020-05-27","Andricus quercuspetiolicola","40.0903294647","-88.2054184377","https://www.inaturalist.org/observations/47589166","Gall","","bisexual","developing","",1730.57312012,1728.89236626032,148,"developing_"
47758857,"2020-05-29","Andricus quercuspetiolicola","41.9238954722","-91.4264112778","https://www.inaturalist.org/observations/47758857","Gall","","bisexual","developing","54780",1506.65307617,1506.69877736788,150,"developing_"
48073287,"2020-05-23","Andricus quercuspetiolicola","38.4595312483","-75.8806231351","https://www.inaturalist.org/observations/48073287","Gall","","bisexual","developing","119273",2422.33056641,2405.46608917931,144,"developing_"
48271314,"2020-06-02","Andricus quercuspetiolicola","42.7487085553","-76.4655853808","https://www.inaturalist.org/observations/48271314","Gall","","bisexual","developing","",1491.55993652,1492.72818308311,154,"developing_"
48278409,"2020-05-29","Andricus quercuspetiolicola","33.8398366957","-84.2692718239","https://www.inaturalist.org/observations/48278409","Gall","","bisexual","developing","54779",3535.64794922,3265.95764369228,150,"developing_"
48292659,"2020-06-02","Andricus quercuspetiolicola","42.6056290488","-71.6159874479","https://www.inaturalist.org/observations/48292659","Gall","","bisexual","developing","",1592.35986328,1593.17078619396,154,"developing_"
48455468,"2020-06-04","Andricus quercuspetiolicola","40.811084","-77.865936","https://www.inaturalist.org/observations/48455468","Gall","","bisexual","developing","54779",1879.63061523,1879.43443733766,156,"developing_"
48731582,"2020-06-06","Andricus quercuspetiolicola","33.8048280881","-84.3045458258","https://www.inaturalist.org/observations/48731582","Gall","","bisexual","developing","54779",3883.40869141,3610.00383161311,158,"developing_"
49220726,"2020-06-11","Andricus quercuspetiolicola","40.7979462902","-77.8600511794","https://www.inaturalist.org/observations/49220726","Gall","","bisexual","developing","",2153.98657227,2153.77895557843,163,"developing_"
49684311,"2020-06-14","Andricus quercuspetiolicola","44.788125","-93.0284945","https://www.inaturalist.org/observations/49684311","Gall","","bisexual","developing","",1759.28344727,1780.61371014808,166,"developing_"
50005144,"2020-06-17","Andricus quercuspetiolicola","33.8396907332","-84.2698397804","https://www.inaturalist.org/observations/50005144","Gall","","bisexual","developing","54779",4345.12597656,4075.42025409413,169,"developing_"
50577265,"2020-06-22","Andricus quercuspetiolicola","42.3441773272","-71.1047349366","https://www.inaturalist.org/observations/50577265","Gall","","bisexual","developing","54780",2568.17602539,2568.53697975796,174,"developing_"
50577311,"2020-06-22","Andricus quercuspetiolicola","42.3441773272","-71.1047349366","https://www.inaturalist.org/observations/50577311","Gall","","bisexual","developing","54780",2568.17602539,2568.53697975796,174,"developing_"
50630029,"2020-06-17","Andricus quercuspetiolicola","42.4551037508","-71.1235616591","https://www.inaturalist.org/observations/50630029","Gall","","bisexual","developing","",2227.22021484,2227.74297550549,169,"developing_"
50880573,"2020-06-25","Andricus quercuspetiolicola","40.799575313","-77.8650859372","https://www.inaturalist.org/observations/50880573","Gall","","bisexual","developing","54779",2647.03320312,2646.82702831877,177,"developing_"
50901280,"2020-06-24","Andricus quercuspetiolicola","42.3414638889","-83.0594388889","https://www.inaturalist.org/observations/50901280","Gall","","bisexual","perimature","54780",2568.21142578,2568.56891067807,176,"perimature_"
51955525,"2020-07-04","Andricus quercuspetiolicola","46.5038816875","-94.206825234","https://www.inaturalist.org/observations/51955525","Gall","","bisexual","perimature","",2115.42236328,2190.59717486007,186,"perimature_"
53325541,"2020-07-16","Andricus quercuspetiolicola","40.798228","-77.86663","https://www.inaturalist.org/observations/53325541","Gall","","bisexual","perimature","54780",3537.70922852,3537.50186165628,198,"perimature_"
53325741,"2020-07-16","Andricus quercuspetiolicola","40.796398","-77.8691989722","https://www.inaturalist.org/observations/53325741","Gall","","bisexual","perimature","54779",3508.00878906,3507.79979572021,198,"perimature_"
53326512,"2020-07-16","Andricus quercuspetiolicola","40.7986429722","-77.867168","https://www.inaturalist.org/observations/53326512","Gall","","bisexual","perimature","54780",3537.70922852,3537.50222929966,198,"perimature_"
53326550,"2020-07-16","Andricus quercuspetiolicola","40.79874","-77.8671339722","https://www.inaturalist.org/observations/53326550","Gall","","bisexual","developing","54780",3537.70922852,3537.50231519842,198,"developing_"
54094079,"2020-07-23","Andricus quercuspetiolicola","40.731014","-77.8831899722","https://www.inaturalist.org/observations/54094079","Gall","","bisexual","developing","128686",3893.23608398,3892.96324491663,205,"developing_"
54443000,"2020-07-26","Andricus quercuspetiolicola","40.78545333","-73.93513667","https://www.inaturalist.org/observations/54443000","Gall","","bisexual","perimature","47851",4723.07226562,4722.8533669871,208,"perimature_"
54448214,"2020-07-26","Andricus quercuspetiolicola","40.7853056677","-73.9350563754","https://www.inaturalist.org/observations/54448214","Gall","","bisexual","perimature","",4723.07226562,4722.85323125171,208,"perimature_"
54547294,"2020-07-19","Andricus quercuspetiolicola","40.887841","-77.656109","https://www.inaturalist.org/observations/54547294","Gall","","bisexual","developing","",3416.73168945,3416.59404967086,201,"developing_"
55942643,"2020-08-09","Andricus quercuspetiolicola","40.774453","-77.685039","https://www.inaturalist.org/observations/55942643","Gall","","bisexual","perimature","559755",4600.43701172,4600.20784692406,222,"perimature_"
57379881,"2020-08-23","Andricus quercuspetiolicola","41.0655670164","-77.4068984983","https://www.inaturalist.org/observations/57379881","Gall","","bisexual","perimature","",4766.93847656,4766.88928171199,236,"perimature_"
72294150,"2021-03-28","Andricus quercuspetiolicola","29.9798583333","-95.5876783333","https://www.inaturalist.org/observations/72294150","Gall","","bisexual","developing","",2126.83398438,1209.50585800388,87,"developing_"
72952868,"2021-04-03","Andricus quercuspetiolicola","31.5452333333","-95.2321616667","https://www.inaturalist.org/observations/72952868","Gall","","bisexual","developing","",1853.4864502,1261.59167674397,93,"developing_"
73121612,"2021-04-06","Andricus quercuspetiolicola","30.8280212987","-96.2611251873","https://www.inaturalist.org/observations/73121612","Gall","","bisexual","developing","",2010.81542969,1281.54920534931,96,"developing_"
73496876,"2021-04-10","Andricus quercuspetiolicola","33.1767110755","-96.6271973761","https://www.inaturalist.org/observations/73496876","Gall","","bisexual","developing","",1887.46166992,1541.49348605774,100,"developing_"
74190341,"2021-04-16","Andricus quercuspetiolicola","36.1101399874","-79.9924919565","https://www.inaturalist.org/observations/74190341","Gall","","bisexual","developing","",1474.78417969,1380.83700857017,106,"developing_"
74290998,"2021-04-17","Andricus quercuspetiolicola","36.1151684755","-80.0317001732","https://www.inaturalist.org/observations/74290998","Gall","","bisexual","developing","54779",1511.01806641,1417.3335950427,107,"developing_"
74291059,"2021-04-17","Andricus quercuspetiolicola","36.1151437937","-80.0320113004","https://www.inaturalist.org/observations/74291059","Gall","","bisexual","developing","54779",1511.01806641,1417.3323068063,107,"developing_"
74317007,"2021-04-17","Andricus quercuspetiolicola","38.8577754929","-77.3284710161","https://www.inaturalist.org/observations/74317007","Gall","","bisexual","developing","54779",1110.90515137,1099.83737438402,107,"developing_"
74317008,"2021-04-17","Andricus quercuspetiolicola","38.8577754929","-77.3284710161","https://www.inaturalist.org/observations/74317008","Gall","","bisexual","developing","54779",1110.90515137,1099.83737438402,107,"developing_"
74385974,"2021-04-18","Andricus quercuspetiolicola","34.5160004801","-93.0386049645","https://www.inaturalist.org/observations/74385974","Gall","","bisexual","developing","",1691.08117676,1486.68919576906,108,"developing_"
74400841,"2021-04-18","Andricus quercuspetiolicola","35.7094527778","-78.5966305556","https://www.inaturalist.org/observations/74400841","Gall","","bisexual","developing","",1765.6998291,1649.20408134185,108,"developing_"
74404462,"2021-04-18","Andricus quercuspetiolicola","37.2442633333","-77.3613283333","https://www.inaturalist.org/observations/74404462","Gall","","bisexual","developing","54779",1375.25305176,1329.00691151415,108,"developing_"
74443182,"2021-04-18","Andricus quercuspetiolicola","38.0288695","-78.552855","https://www.inaturalist.org/observations/74443182","Gall","","bisexual","developing","54779",1270.5201416,1245.42647778915,108,"developing_"
74473589,"2021-04-18","Andricus quercuspetiolicola","33.7948001","-80.7820962","https://www.inaturalist.org/observations/74473589","Gall","","bisexual","developing","54779",2224.51098633,1950.03586775785,108,"developing_"
74513332,"2021-04-18","Andricus quercuspetiolicola","37.6001764185","-77.3925224785","https://www.inaturalist.org/observations/74513332","Gall","","bisexual","developing","82754",1348.82910156,1313.24253132721,108,"developing_"
74699322,"2021-04-20","Andricus quercuspetiolicola","33.750816","-84.6321559722","https://www.inaturalist.org/observations/74699322","Gall","","bisexual","developing","54779",2022.83044434,1743.62802985163,110,"developing_"
74851041,"2021-04-22","Andricus quercuspetiolicola","37.5056383426","-77.5888133333","https://www.inaturalist.org/observations/74851041","Gall","","bisexual","developing","",1437.60473633,1399.3668918099,112,"developing_"
74887204,"2021-04-22","Andricus quercuspetiolicola","37.5056833333","-77.5887916667","https://www.inaturalist.org/observations/74887204","Gall","","bisexual","developing","",1437.60473633,1399.36818387719,112,"developing_"
74902667,"2021-04-22","Andricus quercuspetiolicola","35.8171156","-78.7263642","https://www.inaturalist.org/observations/74902667","Gall","","bisexual","developing","",1842.7401123,1732.62226422453,112,"developing_"
74961387,"2021-04-23","Andricus quercuspetiolicola","38.8581974019","-77.3283664064","https://www.inaturalist.org/observations/74961387","Gall","","bisexual","developing","54779",1232.94506836,1221.88259241764,113,"developing_"
74961394,"2021-04-23","Andricus quercuspetiolicola","38.8581974019","-77.3283664064","https://www.inaturalist.org/observations/74961394","Gall","","bisexual","developing","54779",1232.94506836,1221.88259241764,113,"developing_"
74961396,"2021-04-23","Andricus quercuspetiolicola","38.8581974019","-77.3283664064","https://www.inaturalist.org/observations/74961396","Gall","","bisexual","developing","54779",1232.94506836,1221.88259241764,113,"developing_"
74992189,"2021-04-21","Andricus quercuspetiolicola","34.1262778333","-94.6812666667","https://www.inaturalist.org/observations/74992189","Gall","","bisexual","developing","",1906.54077148,1665.98733805336,111,"developing_"
75104587,"2021-04-24","Andricus quercuspetiolicola","38.3584397084","-77.3287516587","https://www.inaturalist.org/observations/75104587","Gall","","bisexual","developing","128686",1401.3260498,1382.72285870596,114,"developing_"
75338758,"2021-04-26","Andricus quercuspetiolicola","39.13024262","-77.53231732","https://www.inaturalist.org/observations/75338758","Gall","","bisexual","developing","54779",1234.61901855,1226.63423948899,116,"developing_"
75373878,"2021-04-26","Andricus quercuspetiolicola","38.7536913746","-77.1125721409","https://www.inaturalist.org/observations/75373878","Gall","","bisexual","developing","119273",1467.2869873,1454.859043717,116,"developing_"
75381742,"2021-04-26","Andricus quercuspetiolicola","36.1101313198","-79.9924812276","https://www.inaturalist.org/observations/75381742","Gall","","bisexual","developing","54779",1686.96801758,1593.02039322142,116,"developing_"
75381746,"2021-04-26","Andricus quercuspetiolicola","36.1100533107","-79.992524143","https://www.inaturalist.org/observations/75381746","Gall","","bisexual","developing","54779",1686.96801758,1593.01631397044,116,"developing_"
75416873,"2021-04-26","Andricus quercuspetiolicola","35.0735099722","-92.494173","https://www.inaturalist.org/observations/75416873","Gall","","bisexual","developing","82754",1825.20812988,1665.96057812467,116,"developing_"
75559320,"2021-04-28","Andricus quercuspetiolicola","40.7837416667","-81.9299083333","https://www.inaturalist.org/observations/75559320","Gall","","bisexual","developing","54780",899.900268555,899.679793066371,118,"developing_"
75684791,"2021-04-29","Andricus quercuspetiolicola","34.7565763973","-84.392617229","https://www.inaturalist.org/observations/75684791","Gall","","bisexual","developing","54779",1859.12011719,1675.13081366885,119,"developing_"
75692960,"2021-04-29","Andricus quercuspetiolicola","40.6582076146","-73.9973126936","https://www.inaturalist.org/observations/75692960","Gall","","bisexual","developing","54780",1253.71728516,1253.35938142618,119,"developing_"
75732794,"2021-04-29","Andricus quercuspetiolicola","36.6880770999","-95.98571501","https://www.inaturalist.org/observations/75732794","Gall","","bisexual","developing","54781",1693.30444336,1626.45354760618,119,"developing_"
75847246,"2021-04-30","Andricus quercuspetiolicola","36.1101313198","-79.9925456007","https://www.inaturalist.org/observations/75847246","Gall","","bisexual","developing","54779",1833.75793457,1739.81031021142,120,"developing_"
75926333,"2021-04-30","Andricus quercuspetiolicola","38.363945","-77.59298","https://www.inaturalist.org/observations/75926333","Gall","","bisexual","developing","54779",1488.14916992,1469.64360861422,120,"developing_"
75947574,"2021-04-30","Andricus quercuspetiolicola","40.0582742992","-75.2485681092","https://www.inaturalist.org/observations/75947574","Gall","","bisexual","developing","",1199.78015137,1197.98211210411,120,"developing_"
76117032,"2021-05-01","Andricus quercuspetiolicola","40.6498113657","-73.9854859036","https://www.inaturalist.org/observations/76117032","Gall","","bisexual","developing","54780",1313.79223633,1313.42351595665,121,"developing_"
76413314,"2021-05-01","Andricus quercuspetiolicola","38.912736","-77.356492","https://www.inaturalist.org/observations/76413314","Gall","","bisexual","developing","54779",1454.47094727,1444.07956103485,121,"developing_"
77002532,"2021-05-03","Andricus quercuspetiolicola","40.7995948789","-77.8652114867","https://www.inaturalist.org/observations/77002532","Gall","","bisexual","developing","54779",991.079284668,990.873127144355,123,"developing_"
77092862,"2021-05-03","Andricus quercuspetiolicola","38.8769422476","-77.495909734","https://www.inaturalist.org/observations/77092862","Gall","","bisexual","developing","54780",1509.25427246,1498.42561020492,123,"developing_"
77164490,"2021-04-30","Andricus quercuspetiolicola","38.9543905611","-77.3053375665","https://www.inaturalist.org/observations/77164490","Gall","","bisexual","developing","128686",1469.44714355,1459.54961944162,120,"developing_"
77260180,"2021-05-04","Andricus quercuspetiolicola","40.7086","-73.83127","https://www.inaturalist.org/observations/77260180","Gall","","bisexual","developing","",1305.28735352,1304.98995459923,124,"developing_"
77355251,"2021-05-04","Andricus quercuspetiolicola","38.28219223","-85.899757385","https://www.inaturalist.org/observations/77355251","Gall","","bisexual","developing","54779",1541.06884766,1521.07798486304,124,"developing_"
77392454,"2021-05-01","Andricus quercuspetiolicola","38.9131866667","-77.355805","https://www.inaturalist.org/observations/77392454","Gall","","bisexual","developing","54779",1454.47094727,1444.08499020953,121,"developing_"
77394016,"2021-05-01","Andricus quercuspetiolicola","38.9130083333","-77.3565533333","https://www.inaturalist.org/observations/77394016","Gall","","bisexual","developing","54779",1454.47094727,1444.08284205601,121,"developing_"
77454869,"2021-05-05","Andricus quercuspetiolicola","40.784013304","-77.863716418","https://www.inaturalist.org/observations/77454869","Gall","","bisexual","developing","54779",1058.64221191,1058.42198716885,125,"developing_"
