"Site","Plant.number","observed_on","Plant.species","FlushPercent","Latitude","Longitude","agdd32","agdd50"
"Alva","Tree 2",2017-04-05,"Quercus geminata",0.963636363636364,26.7297,-81.6107,3297.88623047,1590.93835449
"Alva","Tree 2",2017-04-08,"Quercus geminata",0.964539007092199,26.7297,-81.6107,3409.44116211,1648.49328613
"Alva","Tree 2",2017-04-11,"Quercus geminata",0.961240310077519,26.7297,-81.6107,3511.94213867,1696.9942627
"Alva","Tree 2",2017-04-14,"Quercus geminata",0.928571428571429,26.7297,-81.6107,3622.32714844,1753.37927246
"Alva","Tree 2",2017-04-17,"Quercus geminata",0.962962962962963,26.7297,-81.6107,3743.04418945,1820.09619141
"Alva","Tree 2",2017-04-19,"Quercus geminata",0.97,26.7297,-81.6107,3825.51098633,1866.56323242
"Alva","Tree 2",2017-04-22,"Quercus geminata",0.981308411214953,26.7297,-81.6107,3949.7199707,1936.7722168
"Archbold","Tree 1",2017-03-10,"Quercus virginiana",0.36241610738255,27.1831,-81.3552,2321.31518555,1082.50097656
"Archbold","Tree 1",2017-03-13,"Quercus virginiana",0.496240601503759,27.1831,-81.3552,2438.50439453,1145.68994141
"Archbold","Tree 1",2017-03-16,"Quercus virginiana",0.57843137254902,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 1",2017-03-20,"Quercus virginiana",0.855555555555556,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 1",2017-03-24,"Quercus virginiana",0.813084112149533,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 1",2017-03-29,"Quercus virginiana",0.88695652173913,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 1",2017-04-01,"Quercus virginiana",0.963302752293578,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 1",2017-04-06,"Quercus virginiana",0.927927927927928,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 1",2017-04-10,"Quercus virginiana",0.931034482758621,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 1",2017-04-13,"Quercus virginiana",0.933884297520661,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 1",2017-04-16,"Quercus virginiana",0.954545454545455,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 1",2017-04-19,"Quercus virginiana",0.939393939393939,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 1",2017-04-22,"Quercus virginiana",0.957264957264957,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 1",2017-04-24,"Quercus virginiana",0.96875,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 2",2017-03-10,"Quercus virginiana",0.415254237288136,27.1831,-81.3552,2321.31518555,1082.50097656
"Archbold","Tree 2",2017-03-13,"Quercus virginiana",0.491803278688525,27.1831,-81.3552,2438.50439453,1145.68994141
"Archbold","Tree 2",2017-03-16,"Quercus virginiana",0.574468085106383,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 2",2017-03-20,"Quercus virginiana",0.761363636363636,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 2",2017-03-24,"Quercus virginiana",0.781512605042017,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 2",2017-03-29,"Quercus virginiana",0.792792792792793,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 2",2017-04-01,"Quercus virginiana",0.854368932038835,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 2",2017-04-06,"Quercus virginiana",0.907563025210084,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 2",2017-04-10,"Quercus virginiana",0.933774834437086,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 2",2017-04-13,"Quercus virginiana",0.911764705882353,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 2",2017-04-16,"Quercus virginiana",0.932203389830508,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 2",2017-04-19,"Quercus virginiana",0.927927927927928,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 2",2017-04-22,"Quercus virginiana",0.943396226415094,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 2",2017-04-24,"Quercus virginiana",0.954954954954955,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 3",2017-03-10,"Quercus virginiana",0.405405405405405,27.1831,-81.3552,2321.31518555,1082.50097656
"Archbold","Tree 3",2017-03-13,"Quercus virginiana",0.533980582524272,27.1831,-81.3552,2438.50439453,1145.68994141
"Archbold","Tree 3",2017-03-16,"Quercus virginiana",0.652173913043478,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 3",2017-03-20,"Quercus virginiana",0.859504132231405,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 3",2017-03-24,"Quercus virginiana",0.712230215827338,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 3",2017-03-29,"Quercus virginiana",0.86046511627907,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 3",2017-04-01,"Quercus virginiana",0.894308943089431,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 3",2017-04-06,"Quercus virginiana",0.860215053763441,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 3",2017-04-10,"Quercus virginiana",0.96969696969697,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 3",2017-04-13,"Quercus virginiana",0.921259842519685,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 3",2017-04-16,"Quercus virginiana",0.951923076923077,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 3",2017-04-19,"Quercus virginiana",0.947368421052632,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 3",2017-04-22,"Quercus virginiana",0.928,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 3",2017-04-24,"Quercus virginiana",0.976190476190476,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 4",2017-03-10,"Quercus virginiana",0.396039603960396,27.1831,-81.3552,2321.31518555,1082.50097656
"Archbold","Tree 4",2017-03-13,"Quercus virginiana",0.5,27.1831,-81.3552,2438.50439453,1145.68994141
"Archbold","Tree 4",2017-03-16,"Quercus virginiana",0.418367346938776,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 4",2017-03-20,"Quercus virginiana",0.62,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 4",2017-03-24,"Quercus virginiana",0.709677419354839,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 4",2017-03-29,"Quercus virginiana",0.779661016949153,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 4",2017-04-06,"Quercus virginiana",0.787878787878788,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 4",2017-04-10,"Quercus virginiana",0.907407407407407,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 4",2017-04-13,"Quercus virginiana",0.901639344262295,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 4",2017-04-16,"Quercus virginiana",0.948453608247423,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 4",2017-04-19,"Quercus virginiana",0.971698113207547,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 4",2017-04-22,"Quercus virginiana",0.939655172413793,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 4",2017-04-24,"Quercus virginiana",0.96,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 5",2017-03-10,"Quercus virginiana",0.423423423423423,27.1831,-81.3552,2321.31518555,1082.50097656
"Archbold","Tree 5",2017-03-13,"Quercus virginiana",0.530769230769231,27.1831,-81.3552,2438.50439453,1145.68994141
"Archbold","Tree 5",2017-03-16,"Quercus virginiana",0.691176470588235,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 5",2017-03-20,"Quercus virginiana",0.8515625,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 5",2017-03-24,"Quercus virginiana",0.875,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 5",2017-03-29,"Quercus virginiana",0.857142857142857,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 5",2017-04-01,"Quercus virginiana",0.927710843373494,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 5",2017-04-06,"Quercus virginiana",0.958333333333333,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 5",2017-04-10,"Quercus virginiana",0.963963963963964,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 5",2017-04-13,"Quercus virginiana",0.942857142857143,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 5",2017-04-16,"Quercus virginiana",0.969072164948454,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 5",2017-04-19,"Quercus virginiana",0.933823529411765,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 5",2017-04-22,"Quercus virginiana",0.989795918367347,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 5",2017-04-24,"Quercus virginiana",0.97029702970297,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 1",2017-03-16,"Quercus geminata",0,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 1",2017-03-20,"Quercus geminata",0.0118343195266272,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 1",2017-03-24,"Quercus geminata",0.188888888888889,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 1",2017-03-29,"Quercus geminata",0.203125,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 1",2017-04-01,"Quercus geminata",0.153846153846154,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 1",2017-04-06,"Quercus geminata",0.284615384615385,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 1",2017-04-10,"Quercus geminata",0.37984496124031,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 1",2017-04-13,"Quercus geminata",0.80952380952381,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 1",2017-04-16,"Quercus geminata",0.879432624113475,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 1",2017-04-19,"Quercus geminata",0.902097902097902,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 1",2017-04-22,"Quercus geminata",0.944444444444444,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 1",2017-04-14,"Quercus geminata",0.942857142857143,27.1831,-81.3552,3597.68652344,1728.87133789
"Archbold","Tree 2",2017-03-16,"Quercus geminata",0,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 2",2017-03-20,"Quercus geminata",0.0108108108108108,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 2",2017-03-24,"Quercus geminata",0,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 2",2017-03-29,"Quercus geminata",0.00735294117647059,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 2",2017-04-01,"Quercus geminata",0.0508474576271186,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 2",2017-04-06,"Quercus geminata",0.487179487179487,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 2",2017-04-10,"Quercus geminata",0.567567567567568,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 2",2017-04-13,"Quercus geminata",0.684210526315789,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 2",2017-04-16,"Quercus geminata",0.77319587628866,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 2",2017-04-19,"Quercus geminata",0.816326530612245,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 2",2017-04-22,"Quercus geminata",0.925925925925926,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 2",2017-04-24,"Quercus geminata",0.942528735632184,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 3",2017-03-16,"Quercus geminata",0,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 3",2017-03-20,"Quercus geminata",0,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 3",2017-03-24,"Quercus geminata",0.00813008130081301,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 3",2017-03-29,"Quercus geminata",0.308943089430894,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 3",2017-04-01,"Quercus geminata",0.341463414634146,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 3",2017-04-06,"Quercus geminata",0.565656565656566,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 3",2017-04-10,"Quercus geminata",0.643939393939394,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 3",2017-04-13,"Quercus geminata",0.683544303797468,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 3",2017-04-16,"Quercus geminata",0.720338983050847,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 3",2017-04-19,"Quercus geminata",0.788135593220339,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 3",2017-04-22,"Quercus geminata",0.894736842105263,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 3",2017-04-24,"Quercus geminata",0.930232558139535,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 4",2017-03-16,"Quercus geminata",0.015625,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 4",2017-03-20,"Quercus geminata",0.115183246073298,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 4",2017-03-24,"Quercus geminata",0.217391304347826,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 4",2017-03-29,"Quercus geminata",0.255474452554745,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 4",2017-04-01,"Quercus geminata",0.316546762589928,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 4",2017-04-06,"Quercus geminata",0.423423423423423,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 4",2017-04-10,"Quercus geminata",0.532846715328467,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 4",2017-04-13,"Quercus geminata",0.715328467153285,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 4",2017-04-16,"Quercus geminata",0.888888888888889,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 4",2017-04-19,"Quercus geminata",0.877862595419847,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 4",2017-04-22,"Quercus geminata",0.934782608695652,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 4",2017-04-24,"Quercus geminata",0.958677685950413,27.1831,-81.3552,4003.83862305,1955.02307129
"Archbold","Tree 5",2017-03-16,"Quercus geminata",0,27.1831,-81.3552,2525.05737305,1178.24279785
"Archbold","Tree 5",2017-03-20,"Quercus geminata",0.029940119760479,27.1831,-81.3552,2635.20849609,1216.39367676
"Archbold","Tree 5",2017-03-24,"Quercus geminata",0.0423728813559322,27.1831,-81.3552,2775.18554688,1284.37060547
"Archbold","Tree 5",2017-03-29,"Quercus geminata",0.0827067669172932,27.1831,-81.3552,2961.79150391,1380.9765625
"Archbold","Tree 5",2017-04-01,"Quercus geminata",0.165137614678899,27.1831,-81.3552,3084.0925293,1449.27746582
"Archbold","Tree 5",2017-04-06,"Quercus geminata",0.336448598130841,27.1831,-81.3552,3314.46557617,1589.65039062
"Archbold","Tree 5",2017-04-10,"Quercus geminata",0.451327433628319,27.1831,-81.3552,3447.66552734,1650.8503418
"Archbold","Tree 5",2017-04-13,"Quercus geminata",0.637795275590551,27.1831,-81.3552,3558.90551758,1708.09033203
"Archbold","Tree 5",2017-04-16,"Quercus geminata",0.764150943396226,27.1831,-81.3552,3677.49853516,1772.68334961
"Archbold","Tree 5",2017-04-19,"Quercus geminata",0.871794871794872,27.1831,-81.3552,3798.04467773,1839.22924805
"Archbold","Tree 5",2017-04-22,"Quercus geminata",0.855932203389831,27.1831,-81.3552,3921.23657227,1908.42114258
"Archbold","Tree 5",2017-04-24,"Quercus geminata",0.956521739130435,27.1831,-81.3552,4003.83862305,1955.02307129
"Dickinson","Tree 1",2017-03-10,"Quercus geminata",0.00230414746543779,27.0029,-80.1015,2565.26098633,1323.26037598
"Dickinson","Tree 1",2017-03-13,"Quercus geminata",0.00793650793650794,27.0029,-80.1015,2687.89477539,1391.89428711
"Dickinson","Tree 1",2017-03-15,"Quercus geminata",0.0338600451467269,27.0029,-80.1015,2761.19067383,1429.19030762
"Dickinson","Tree 1",2017-03-19,"Quercus geminata",0.129533678756477,27.0029,-80.1015,2867.45385742,1463.453125
"Dickinson","Tree 1",2017-03-25,"Quercus geminata",0.252604166666667,27.0029,-80.1015,3083.20166016,1571.20117188
"Dickinson","Tree 1",2017-03-30,"Quercus geminata",0.442553191489362,27.0029,-80.1015,3282.84863281,1680.8482666
"Dickinson","Tree 1",2017-04-03,"Quercus geminata",0.705627705627706,27.0029,-80.1015,3453.88476562,1779.88415527
"Dickinson","Tree 1",2017-04-06,"Quercus geminata",0.786713286713287,27.0029,-80.1015,3594.37475586,1866.37414551
"Dickinson","Tree 1",2017-04-08,"Quercus geminata",0.733766233766234,27.0029,-80.1015,3664.99780273,1900.99719238
"Dickinson","Tree 1",2017-04-12,"Quercus geminata",0.86687306501548,27.0029,-80.1015,3827.33984375,1991.33911133
"Dickinson","Tree 1",2017-04-14,"Quercus geminata",0.839181286549708,27.0029,-80.1015,3915.10791016,2043.10705566
"Dickinson","Tree 1",2017-04-18,"Quercus geminata",0.880503144654088,27.0029,-80.1015,4092.77685547,2148.77612305
"Dickinson","Tree 1",2017-04-21,"Quercus geminata",0.916666666666667,27.0029,-80.1015,4227.66845703,2229.66821289
"Dickinson","Tree 1",2017-04-23,"Quercus geminata",0.928348909657321,27.0029,-80.1015,4316.88574219,2282.88500977
"Gatorama","Tree 1",2017-03-10,"Quercus virginiana",0.34375,26.9326,-81.29,2313.55737305,1073.4744873
"Gatorama","Tree 1",2017-03-13,"Quercus virginiana",0.427480916030534,26.9326,-81.29,2430.77319336,1136.69042969
"Gatorama","Tree 1",2017-03-16,"Quercus virginiana",0.444444444444444,26.9326,-81.29,2517.25439453,1169.17138672
"Gatorama","Tree 1",2017-03-20,"Quercus virginiana",0.770491803278688,26.9326,-81.29,2623.32836914,1203.24523926
"Gatorama","Tree 1",2017-03-24,"Quercus virginiana",0.847826086956522,26.9326,-81.29,2759.5793457,1267.49621582
"Gatorama","Tree 1",2017-03-28,"Quercus virginiana",0.957894736842105,26.9326,-81.29,2903.8762207,1339.79321289
"Gatorama","Tree 1",2017-04-01,"Quercus virginiana",0.944954128440367,26.9326,-81.29,3063.57202148,1427.48925781
"Gatorama","Tree 1",2017-04-05,"Quercus virginiana",0.954022988505747,26.9326,-81.29,3246.64990234,1538.56713867
"Gatorama","Tree 1",2017-04-08,"Quercus virginiana",0.938053097345133,26.9326,-81.29,3360.22998047,1598.14709473
"Gatorama","Tree 1",2017-04-11,"Quercus virginiana",0.958333333333333,26.9326,-81.29,3461.0300293,1644.94702148
"Gatorama","Tree 1",2017-04-14,"Quercus virginiana",0.941176470588235,26.9326,-81.29,3572.49487305,1702.41210938
"Gatorama","Tree 1",2017-04-17,"Quercus virginiana",0.943548387096774,26.9326,-81.29,3691.15991211,1767.07714844
"Gatorama","Tree 1",2017-04-19,"Quercus virginiana",0.924778761061947,26.9326,-81.29,3771.25073242,1811.16809082
"Gatorama","Tree 1",2017-04-22,"Quercus virginiana",0.946601941747573,26.9326,-81.29,3893.87548828,1879.79309082
"Gatorama","Tree 2",2017-03-10,"Quercus virginiana",0.385767790262172,26.9326,-81.29,2313.55737305,1073.4744873
