"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_generation","Gall_phenophase","agdd","phenogen"
30683234,"2019-08-12","Neuroterus quercusverrucarum","40.7994437591","-77.867795555","https://www.inaturalist.org/observations/30683234","Gall","","unisexual","developing",4575.37207031,"developing_"
30807523,"2019-08-14","Neuroterus quercusverrucarum","42.4564133333","-82.8754583333","https://www.inaturalist.org/observations/30807523","Gall","","unisexual","developing",NA,"developing_"
30904898,"2019-08-15","Neuroterus quercusverrucarum","38.626564556","-90.3793941066","https://www.inaturalist.org/observations/30904898","Gall","","unisexual","developing",5896.15039062,"developing_"
30941102,"2019-08-16","Neuroterus quercusverrucarum","40.7834916667","-81.91987","https://www.inaturalist.org/observations/30941102","Gall","","unisexual","developing",4846.52587891,"developing_"
30961330,"2019-08-14","Neuroterus quercusverrucarum","34.5867540958","-92.2536017573","https://www.inaturalist.org/observations/30961330","Gall","","unisexual","developing",6904.50097656,"developing_"
31101721,"2019-08-15","Neuroterus quercusverrucarum","44.4629121","-88.0149057","https://www.inaturalist.org/observations/31101721","Gall","","unisexual","developing",3885.46923828,"developing_"
31168842,"2019-08-18","Neuroterus quercusverrucarum","39.7157928","-79.3414403","https://www.inaturalist.org/observations/31168842","Gall","","unisexual","developing",4813.63818359,"developing_"
32155679,"2019-09-05","Neuroterus quercusverrucarum","43.0349457714","-76.1367340706","https://www.inaturalist.org/observations/32155679","Gall","","unisexual","developing",5050.31298828,"developing_"
32543375,"2019-09-08","Neuroterus quercusverrucarum","41.0990088092","-77.2328945783","https://www.inaturalist.org/observations/32543375","Gall","","unisexual","developing",5250.83203125,"developing_"
32679626,"2019-09-02","Neuroterus quercusverrucarum","32.8857733333","-97.2217633333","https://www.inaturalist.org/observations/32679626","Gall","","unisexual","developing",8566.56640625,"developing_"
32777001,"2019-09-13","Neuroterus quercusverrucarum","31.0614805556","-97.4655916667","https://www.inaturalist.org/observations/32777001","Gall","","unisexual","developing",9614.86914062,"developing_"
32974015,"2019-09-18","Neuroterus quercusverrucarum","40.8840133333","-78.0226221667","https://www.inaturalist.org/observations/32974015","Gall","","unisexual","developing",5280.40478516,"developing_"
33082501,"2019-09-19","Neuroterus quercusverrucarum","40.7226730432","-73.8285098608","https://www.inaturalist.org/observations/33082501","Gall","","unisexual","developing",6700.80175781,"developing_"
33275553,"2019-09-23","Neuroterus quercusverrucarum","40.8078994751","-77.8631515503","https://www.inaturalist.org/observations/33275553","Gall","","unisexual","developing",6063.34228516,"developing_"
33276773,"2019-09-23","Neuroterus quercusverrucarum","32.9012249736","-96.8359616307","https://www.inaturalist.org/observations/33276773","Gall","","unisexual","dormant",9866.32910156,"dormant_"
33495718,"2019-09-27","Neuroterus quercusverrucarum","40.7899627686","-77.9502716064","https://www.inaturalist.org/observations/33495718","Gall","Adult","unisexual","developing",6019.05371094,"developing_Adult"
33496137,"2019-09-27","Neuroterus quercusverrucarum","40.7791862488","-77.9513244629","https://www.inaturalist.org/observations/33496137","Gall","","unisexual","developing",6019.05371094,"developing_"
33496506,"2019-09-27","Neuroterus quercusverrucarum","40.7799224854","-77.9517211914","https://www.inaturalist.org/observations/33496506","Gall","","unisexual","developing",6019.05371094,"developing_"
33515990,"2019-09-27","Neuroterus quercusverrucarum","42.3873350305","-71.1462049931","https://www.inaturalist.org/observations/33515990","Gall","","unisexual","dormant",6201.96875,"dormant_"
33550863,"2019-09-28","Neuroterus quercusverrucarum","41.1851997375","-74.7959213257","https://www.inaturalist.org/observations/33550863","Gall","","unisexual","dormant",5965.68359375,"dormant_"
33558804,"2019-09-27","Neuroterus quercusverrucarum","40.77843","-89.635995","https://www.inaturalist.org/observations/33558804","Gall","","unisexual","developing",6651.98730469,"developing_"
33686390,"2019-09-30","Neuroterus quercusverrucarum","29.762899","-95.588127","https://www.inaturalist.org/observations/33686390","Gall","","unisexual","developing",11190.4462891,"developing_"
33927735,"2019-10-05","Neuroterus quercusverrucarum","39.61926651","-95.5265579224","https://www.inaturalist.org/observations/33927735","Gall","","unisexual","developing",7220.92089844,"developing_"
33958442,"2019-10-06","Neuroterus quercusverrucarum","40.7811288","-77.7862252","https://www.inaturalist.org/observations/33958442","Gall","","unisexual","developing",6587.62695312,"developing_"
33985633,"2019-10-04","Neuroterus quercusverrucarum","32.9607009888","-97.2310333252","https://www.inaturalist.org/observations/33985633","Gall","","unisexual","developing",10145.9160156,"developing_"
34124893,"2019-09-07","Neuroterus quercusverrucarum","42.4799118742","-83.1892279289","https://www.inaturalist.org/observations/34124893","Gall","","unisexual","developing",5420.03955078,"developing_"
34477895,"2019-10-16","Neuroterus quercusverrucarum","40.8008340007","-77.8646976873","https://www.inaturalist.org/observations/34477895","Gall","","unisexual","developing",6657.11669922,"developing_"
34582209,"2019-10-19","Neuroterus quercusverrucarum","29.9583143369","-97.1536351741","https://www.inaturalist.org/observations/34582209","Gall","","unisexual","developing",11681.5888672,"developing_"
34737142,"2019-10-19","Neuroterus quercusverrucarum","32.6915240956","-97.3227669185","https://www.inaturalist.org/observations/34737142","Gall","Larva","unisexual","dormant",10975.3251953,"dormant_Larva"
34831597,"2019-10-24","Neuroterus quercusverrucarum","43.0346817978","-76.1367514912","https://www.inaturalist.org/observations/34831597","Gall","","unisexual","developing",6311.52539062,"developing_"
35224669,"2019-11-02","Neuroterus quercusverrucarum","32.9060433333","-97.1176633333","https://www.inaturalist.org/observations/35224669","Gall","","unisexual","developing",11184.5166016,"developing_"
35401180,"2019-11-05","Neuroterus quercusverrucarum","31.3877773285","-94.2097244263","https://www.inaturalist.org/observations/35401180","Gall","","unisexual","developing",11319.3457031,"developing_"
35419954,"2019-11-07","Neuroterus quercusverrucarum","40.7323635661","-73.9741941286","https://www.inaturalist.org/observations/35419954","Gall","","unisexual","dormant",8243.75390625,"dormant_"
35502017,"2019-11-09","Neuroterus quercusverrucarum","32.7375532687","-97.3599268869","https://www.inaturalist.org/observations/35502017","Gall","","unisexual","dormant",11629.6513672,"dormant_"
35621255,"2019-10-04","Neuroterus quercusverrucarum","32.9607048035","-97.231010437","https://www.inaturalist.org/observations/35621255","Gall","","unisexual","developing",10145.9160156,"developing_"
36070705,"2019-11-21","Neuroterus quercusverrucarum","40.7226945665","-73.8289286569","https://www.inaturalist.org/observations/36070705","Gall","","unisexual","dormant",8173.72265625,"dormant_"
36106853,"2019-11-26","Neuroterus quercusverrucarum","30.2503320063","-97.8603335471","https://www.inaturalist.org/observations/36106853","Gall","","unisexual","dormant",12436.1855469,"dormant_"
36137845,"2019-11-27","Neuroterus quercusverrucarum","32.7862219094","-96.5849706531","https://www.inaturalist.org/observations/36137845","Gall","","unisexual","dormant",11634.8134766,"dormant_"
36137851,"2019-11-27","Neuroterus quercusverrucarum","32.7861837964","-96.5849324499","https://www.inaturalist.org/observations/36137851","Gall","","unisexual","dormant",11634.8134766,"dormant_"
36137852,"2019-11-27","Neuroterus quercusverrucarum","32.786091996","-96.5849017972","https://www.inaturalist.org/observations/36137852","Gall","","unisexual","dormant",11634.8134766,"dormant_"
36137866,"2019-11-27","Neuroterus quercusverrucarum","32.78616246","-96.58487703","https://www.inaturalist.org/observations/36137866","Gall","","unisexual","dormant",11634.8134766,"dormant_"
36180148,"2019-11-26","Neuroterus quercusverrucarum","33.582775","-101.88016333","https://www.inaturalist.org/observations/36180148","Gall","","unisexual","dormant",10261.9033203,"dormant_"
36620427,"2019-12-12","Neuroterus quercusverrucarum","30.35733","-97.7239916667","https://www.inaturalist.org/observations/36620427","Gall","","unisexual","dormant",12907.8427734,"dormant_"
36948164,"2019-12-25","Neuroterus quercusverrucarum","29.6799416667","-95.4633388889","https://www.inaturalist.org/observations/36948164","Gall","","unisexual","dormant",13995.1650391,"dormant_"
36986738,"2019-12-26","Neuroterus quercusverrucarum","40.4493255615","-75.8856506348","https://www.inaturalist.org/observations/36986738","Gall","","unisexual","dormant",7825.88183594,"dormant_"
36986758,"2019-12-26","Neuroterus quercusverrucarum","40.4493255615","-75.8856506348","https://www.inaturalist.org/observations/36986758","Gall","","unisexual","dormant",7825.88183594,"dormant_"
38835963,"2020-01-24","Neuroterus quercusverrucarum","40.7027014427","-73.9956510812","https://www.inaturalist.org/observations/38835963","Gall","","unisexual","dormant",182.735809326,"dormant_"
39410057,"2020-03-01","Neuroterus quercusverrucarum","32.9126240219","-96.6388833895","https://www.inaturalist.org/observations/39410057","Gall","","unisexual","dormant",1052.83728027,"dormant_"
45212633,"2020-05-07","Neuroterus quercusverrucarum","40.7836250542","-73.9315448609","https://www.inaturalist.org/observations/45212633","Gall","","unisexual","dormant",1559.59985352,"dormant_"
45798034,"2020-05-13","Neuroterus quercusverrucarum","30.1968438814","-97.7751275264","https://www.inaturalist.org/observations/45798034","Gall","","unisexual","developing",4006.39501953,"developing_"
46530575,"2020-05-19","Neuroterus quercusverrucarum","32.86773789","-96.64449928","https://www.inaturalist.org/observations/46530575","Gall","","unisexual","developing",3682.69946289,"developing_"
47188275,"2020-05-23","Neuroterus quercusverrucarum","33.3909931667","-97.5733518889","https://www.inaturalist.org/observations/47188275","Gall","","unisexual","developing",3567.61547852,"developing_"
47731774,"2020-05-29","Neuroterus quercusverrucarum","30.4511372","-97.6882703","https://www.inaturalist.org/observations/47731774","Gall","","unisexual","developing",4551.53320312,"developing_"
49260089,"2020-06-11","Neuroterus quercusverrucarum","30.349045","-90.91221667","https://www.inaturalist.org/observations/49260089","Gall","","unisexual","developing",5499.55566406,"developing_"
49480608,"2020-06-13","Neuroterus quercusverrucarum","32.6616466667","-97.2227116667","https://www.inaturalist.org/observations/49480608","Gall","","unisexual","developing",4828.02148438,"developing_"
49492948,"2020-06-13","Neuroterus quercusverrucarum","32.662735","-97.219815","https://www.inaturalist.org/observations/49492948","Gall","","unisexual","developing",4828.02148438,"developing_"
50304977,"2020-06-20","Neuroterus quercusverrucarum","32.7726633333","-97.37339","https://www.inaturalist.org/observations/50304977","Gall","","unisexual","developing",5285.625,"developing_"
50310007,"2020-06-20","Neuroterus quercusverrucarum","32.773818","-97.373845","https://www.inaturalist.org/observations/50310007","Gall","","unisexual","developing",5285.625,"developing_"
50588966,"2020-06-20","Neuroterus quercusverrucarum","32.772745","-97.3733733333","https://www.inaturalist.org/observations/50588966","Gall","","unisexual","developing",5285.625,"developing_"
50812745,"2020-06-23","Neuroterus quercusverrucarum","35.0947359722","-92.4638479722","https://www.inaturalist.org/observations/50812745","Gall","","unisexual","developing",4403.7421875,"developing_"
51147181,"2020-06-27","Neuroterus quercusverrucarum","32.6616744183","-97.2227612738","https://www.inaturalist.org/observations/51147181","Gall","","unisexual","developing",5499.66357422,"developing_"
51644495,"2020-06-30","Neuroterus quercusverrucarum","38.7954547","-77.3096469","https://www.inaturalist.org/observations/51644495","Gall","","unisexual","developing",3864.63330078,"developing_"
52214100,"2020-07-06","Neuroterus quercusverrucarum","32.7544718108","-96.8200912049","https://www.inaturalist.org/observations/52214100","Gall","","unisexual","developing",6083.42333984,"developing_"
52255044,"2020-07-05","Neuroterus quercusverrucarum","35.07356","-92.4941409722","https://www.inaturalist.org/observations/52255044","Gall","","unisexual","developing",5005.08789062,"developing_"
52889940,"2020-07-07","Neuroterus quercusverrucarum","32.9383234641","-97.1899260902","https://www.inaturalist.org/observations/52889940","Gall","","unisexual","developing",5846.81982422,"developing_"
52981605,"2020-07-13","Neuroterus quercusverrucarum","39.0902547471","-96.5888857754","https://www.inaturalist.org/observations/52981605","Gall","","unisexual","developing",4233.00439453,"developing_"
53419070,"2020-06-29","Neuroterus quercusverrucarum","38.596575283","-90.2413787945","https://www.inaturalist.org/observations/53419070","Gall","","unisexual","developing",3784.6328125,"developing_"
53554238,"2020-07-18","Neuroterus quercusverrucarum","32.8388319705","-98.0342401688","https://www.inaturalist.org/observations/53554238","Gall","","unisexual","developing",6330.02929688,"developing_"
53968626,"2020-06-11","Neuroterus quercusverrucarum","32.4897339988","-95.1671690494","https://www.inaturalist.org/observations/53968626","Gall","","unisexual","developing",4587.6328125,"developing_"
54079853,"2020-07-22","Neuroterus quercusverrucarum","41.9179396667","-91.4127113889","https://www.inaturalist.org/observations/54079853","Gall","","unisexual","developing",3752.41333008,"developing_"
54187203,"2020-07-24","Neuroterus quercusverrucarum","33.0453029393","-97.058868531","https://www.inaturalist.org/observations/54187203","Gall","","unisexual","developing",6863.14550781,"developing_"
54323518,"2020-07-25","Neuroterus quercusverrucarum","32.8189666667","-97.25359","https://www.inaturalist.org/observations/54323518","Gall","","unisexual","developing",7101.39501953,"developing_"
54530213,"2020-07-27","Neuroterus quercusverrucarum","30.2762333333","-97.70887","https://www.inaturalist.org/observations/54530213","Gall","","unisexual","developing",7599.21777344,"developing_"
54808217,"2020-07-29","Neuroterus quercusverrucarum","32.9965566667","-97.1894683333","https://www.inaturalist.org/observations/54808217","Gall","","unisexual","developing",7105.01953125,"developing_"
54851453,"2020-07-30","Neuroterus quercusverrucarum","40.7793599722","-77.951395","https://www.inaturalist.org/observations/54851453","Gall","","unisexual","developing",4030.87280273,"developing_"
54883315,"2020-07-29","Neuroterus quercusverrucarum","35.0736546567","-92.5381508441","https://www.inaturalist.org/observations/54883315","Gall","","unisexual","developing",6214.23779297,"developing_"
55341395,"2020-08-03","Neuroterus quercusverrucarum","44.8587423056","-93.2152215278","https://www.inaturalist.org/observations/55341395","Gall","","unisexual","developing",4058.80004883,"developing_"
55695710,"2020-08-03","Neuroterus quercusverrucarum","43.9793640236","-88.6981098913","https://www.inaturalist.org/observations/55695710","Gall","","unisexual","developing",3723.6940918,"developing_"
55814559,"2020-08-08","Neuroterus quercusverrucarum","41.1287333333","-82.214875","https://www.inaturalist.org/observations/55814559","Gall","","unisexual","developing",4504.42529297,"developing_"
55841503,"2020-08-08","Neuroterus quercusverrucarum","32.7395483333","-97.3571916667","https://www.inaturalist.org/observations/55841503","Gall","","unisexual","developing",7922.22021484,"developing_"
55999332,"2020-08-07","Neuroterus quercusverrucarum","32.6919283333","-97.1920033333","https://www.inaturalist.org/observations/55999332","Gall","","unisexual","developing",7638.73925781,"developing_"
56134985,"2020-08-11","Neuroterus quercusverrucarum","32.6908669097","-97.1920360252","https://www.inaturalist.org/observations/56134985","Gall","","unisexual","developing",7862.30810547,"developing_"
56276640,"2020-08-12","Neuroterus quercusverrucarum","41.976549103","-87.7389970148","https://www.inaturalist.org/observations/56276640","Gall","","unisexual","developing",4581.29492188,"developing_"
56348154,"2020-08-12","Neuroterus quercusverrucarum","41.97665833","-87.739045","https://www.inaturalist.org/observations/56348154","Gall","","unisexual","developing",4581.29492188,"developing_"
56365151,"2020-08-13","Neuroterus quercusverrucarum","41.9816736879","-87.737904452","https://www.inaturalist.org/observations/56365151","Gall","","unisexual","developing",4621.75878906,"developing_"
56374037,"2020-08-06","Neuroterus quercusverrucarum","36.0815777778","-76.4382027778","https://www.inaturalist.org/observations/56374037","Gall","","unisexual","developing",6834.25683594,"developing_"
56553012,"2020-08-15","Neuroterus quercusverrucarum","32.7862816667","-97.11414","https://www.inaturalist.org/observations/56553012","Gall","","unisexual","developing",8265.49023438,"developing_"
56759934,"2020-08-17","Neuroterus quercusverrucarum","40.8000966667","-82.253395","https://www.inaturalist.org/observations/56759934","Gall","","unisexual","developing",4851.03466797,"developing_"
56871908,"2020-08-08","Neuroterus quercusverrucarum","32.7395483333","-97.3571916667","https://www.inaturalist.org/observations/56871908","Gall","","unisexual","developing",7922.22021484,"developing_"
57023924,"2020-08-19","Neuroterus quercusverrucarum","41.9774495031","-87.7392224762","https://www.inaturalist.org/observations/57023924","Gall","","unisexual","developing",4870.05078125,"developing_"
57056573,"2020-08-19","Neuroterus quercusverrucarum","34.9747119182","-92.3703601557","https://www.inaturalist.org/observations/57056573","Gall","","unisexual","developing",7261.65722656,"developing_"
57162441,"2020-08-21","Neuroterus quercusverrucarum","46.508017","-94.205881","https://www.inaturalist.org/observations/57162441","Gall","","unisexual","developing",3886.4230957,"developing_"
57178165,"2020-08-21","Neuroterus quercusverrucarum","30.2762466667","-97.7100666667","https://www.inaturalist.org/observations/57178165","Gall","","unisexual","developing",8948.875,"developing_"
57243999,"2020-08-22","Neuroterus quercusverrucarum","32.77367","-97.0946083333","https://www.inaturalist.org/observations/57243999","Gall","","unisexual","developing",8592.953125,"developing_"
57254593,"2020-08-22","Neuroterus quercusverrucarum","32.7733783333","-97.0939016667","https://www.inaturalist.org/observations/57254593","Gall","","unisexual","developing",8592.953125,"developing_"
57256831,"2020-08-22","Neuroterus quercusverrucarum","32.7735916667","-97.09324","https://www.inaturalist.org/observations/57256831","Gall","","unisexual","developing",8592.953125,"developing_"
57277100,"2020-08-22","Neuroterus quercusverrucarum","30.35536167","-97.72112167","https://www.inaturalist.org/observations/57277100","Gall","","unisexual","developing",9105.73535156,"developing_"
57358000,"2020-08-23","Neuroterus quercusverrucarum","32.8833883333","-97.2220533333","https://www.inaturalist.org/observations/57358000","Gall","","unisexual","developing",8470.58984375,"developing_"
57847087,"2020-08-28","Neuroterus quercusverrucarum","40.78297","-81.9184583333","https://www.inaturalist.org/observations/57847087","Gall","","unisexual","developing",5322.09375,"developing_"
57934903,"2020-08-29","Neuroterus quercusverrucarum","32.94138","-97.182625","https://www.inaturalist.org/observations/57934903","Gall","","unisexual","developing",8720.16796875,"developing_"
57973398,"2020-08-29","Neuroterus quercusverrucarum","38.8579927156","-77.3285595262","https://www.inaturalist.org/observations/57973398","Gall","","unisexual","developing",6700.73974609,"developing_"
58135935,"2020-08-30","Neuroterus quercusverrucarum","40.6473793766","-73.9864490379","https://www.inaturalist.org/observations/58135935","Gall","","unisexual","developing",6456.27636719,"developing_"
58209393,"2020-08-31","Neuroterus quercusverrucarum","38.88137","-77.00336388","https://www.inaturalist.org/observations/58209393","Gall","","unisexual","dormant",6941.69824219,"dormant_"
58255086,"2020-09-01","Neuroterus quercusverrucarum","40.779899","-77.951621","https://www.inaturalist.org/observations/58255086","Gall","","unisexual","developing",5362.42333984,"developing_"
58266679,"2020-09-01","Neuroterus quercusverrucarum","32.7548038097","-97.1400089827","https://www.inaturalist.org/observations/58266679","Gall","","unisexual","dormant",9100.68847656,"dormant_"
58298896,"2020-09-01","Neuroterus quercusverrucarum","44.88599667","-93.28904667","https://www.inaturalist.org/observations/58298896","Gall","","unisexual","developing",5155.77490234,"developing_"
58343699,"2020-09-02","Neuroterus quercusverrucarum","39.9222916667","-83.7873166667","https://www.inaturalist.org/observations/58343699","Gall","","unisexual","developing",5878.48291016,"developing_"
58355415,"2020-09-02","Neuroterus quercusverrucarum","32.7575132642","-97.2117339779","https://www.inaturalist.org/observations/58355415","Gall","","unisexual","developing",9113.31738281,"developing_"
58367803,"2020-09-02","Neuroterus quercusverrucarum","35.9005879726","-81.4957911401","https://www.inaturalist.org/observations/58367803","Gall","","unisexual","developing",6930.6640625,"developing_"
58623954,"2020-09-05","Neuroterus quercusverrucarum","42.28943911","-88.34548906","https://www.inaturalist.org/observations/58623954","Gall","","unisexual","developing",5275.20361328,"developing_"
58630930,"2020-09-05","Neuroterus quercusverrucarum","32.69681","-97.4515083333","https://www.inaturalist.org/observations/58630930","Gall","","unisexual","developing",9346.67382812,"developing_"
58642356,"2020-09-05","Neuroterus quercusverrucarum","32.6968133333","-97.451505","https://www.inaturalist.org/observations/58642356","Gall","","unisexual","developing",9346.67382812,"developing_"
